electricity_use_kbtu,objectid,street_address,property_name,opa_account_num,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,portfolio_manager_id,natural_gas_use_kbtu,fuel_oil_o2_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,water_use_all_kgal,total_ghg_emissions_mtco2e,notes
6735.5,3066,20 S 36TH ST,The Axis,881601401,19104,1,1900,Residence Hall/Dormitory,32818,5964472,2578595.9,,1364348.7,78,120.4,133.2,7650.9,228.3,
3001780,3288,2213-21 CHESTNUT ST,American Red Cross - Humanitarian Services,883324100,19103,1,1972,Office,75495,3591160,205.2,,1471824.8,82,59.3,148.3,190.3,430.7,
1554539.3,3516,1645 SPRING GARDEN ST,Masterman,782513600,19130,1,1933,K-12 School,105000,3330813,429396.9,,5594528.9,66,72.2,114.9,1086.6,566.7,
2177021.8,3621,620-34 N 15TH ST,Franklin Learning Center,782640200,19130,1,1909,K-12 School,150000,3330819,394846,,9259933.6,60,78.9,122.6,687.6,877.3,
2203606.1,3623,2200-24 CHESTNUT ST,Greenfield,782092400,19103,1,1968,K-12 School,96000,3583475,8967.6,,1947107.7,79,43.3,96.6,509.9,374.2,
6019894,3761,3401-15 MARKET ST,3401 Market St.,883072000,19104,1,1930,Office,90817,3325211,268111.9,,18182092.8,1,269.4,452.1,1073.6,1889.3,
6306218.8,3790,1901-05 WALNUT ST,The Rittenhouse Plaza,881025500,19103,1,1924,Multifamily Housing,279109,4979799,157185.4,,14744633.5,26,76,135.1,7358,1686.9,
3381732.8,3806,1516-18 WALNUT ST,1518 Walnut Street,883334010,19102,1,1929,Office,103560,3938855,2552.6,,4239485.2,87,73.6,151.8,1243.7,656.8,
2800569.6,3733,1207-09 CHESTNUT ST,1207 Chestnut,883311000,19107,1,1925,Office,51676,3759390,179122.5,,572095.3,52,68.7,187.1,1180.4,358.2,
4302811.8,3898,233-55 S 8TH ST,Hall Mercer at PAH,771004000,19106,1,1980,Medical Office,70902,3107955,84.4,,2397243.9,60,94.5,231.2,1454.4,636.5,
4101585.7,3924,1429-33 WALNUT ST,1429 Walnut,882020850,19102,1,1916,Office,77472,3596562,347.3,,1962834.5,59,78.3,196.7,859.6,585.3,
4560755.6,3947,201 N 34TH ST,19-Kelly Hall,881822870,19104,1,1967,Residence Hall/Dormitory,89931,3762542,316404.1,,4244754.6,37,101.4,219.7,3150.4,804.6,
4673290.2,3955,1015 WALNUT ST,Curtis Building,771020000,19107-5099,1,1928,Office,136566,3642349,4617,,12484225,25,189.8,281.5,7704.9,1808.8,
4133017,4083,1026-44 MARKET ST,1026-44 MARKET ST,,19107-4205,1,1960,K-12 School,89159,6383621,156670.2,,2961119.7,52,81.3,187.4,522,663.4,
5459138.6,3986,1501-11 RACE ST,Bellet,772027000,19102,1,1960,Office,129532,3790349,183728.6,,3708118.2,78,72.2,168.3,1351.9,861.6,
29811053.4,4193,201 N 17TH ST,Sheraton Philadelphia Downtown,883720000,19103,1,1980,Hotel,852595,3954641,2030977,,29365580.4,67,71.8,153.7,44246.3,5364.7,
9767327.7,4240,1001-41 WALNUT ST,Main Building,771020000,19107-5244,1,1906,Hospital (General Medical & Surgical),169807,3635906,1949.4,,20742287.4,81,239,386.9,14337.9,2992,
9824161.4,4243,1616-26 WALNUT ST,Icon 1616,881012260,19103,1,1929,Multifamily Housing,274265,5021678,178953.6,,1254627.4,65,41,118.7,5647.4,1182.6,
13685201,4244,3501 CHESTNUT ST,Sheraton University City Hotel,883730000,19104,1,1976,Hotel,202880,3876329,6166918.3,,10749812.8,18,150.8,307.5,19811.7,2559.4,
13842890,4248,400-26 S BROAD ST,Symphony House,888088402,19146,1,2005,Multifamily Housing,642000,4184551,1221910,,11039590.6,82,40.7,90.4,10785.1,2333.5,
33537134.9,4251,3711L MARKET ST,3737 Market Street,883073690,19104,1,2014,Medical Office,357847,4600204,1167964.8,,18942194.6,31,149.9,361.4,12742.3,5040.1,
35489849.8,4255,1200 MARKET ST,Loews Philadelphia Hotel,883705320,19107,1,1932,Hotel,650000,1946616,5562894.9,,18169245.5,50,91.1,214.1,20898,5438.8,
17539027.7,4392,1500-06 WALNUT ST,1500 Walnut,883040500,19102,1,1930,Office,275468,3596612,2626905.1,,18087897.3,44,138.9,288.9,7828.4,3286.2,
52208615.6,4395,101 N INDEPENDENCE MALL E,140399 Plaza,883014510,19106,1,1972,Office,535615,2669173,210100,,24450323,63,143.5,361.4,12023,7426.2,
14044457.3,4273,130 S 18TH ST,10 Rittenhouse Square,888095900,19103,1,2009,Multifamily Housing,480715,4961098,1479761.3,,7519.4,67,32.3,95,6443.6,1637.1,
14315922.9,4277,1025 WALNUT ST,College Building,771020000,19107-4083,1,1928,Office,191783,3641868,15184.8,,16336069.2,13,220.4,397.4,4602,3284.8,
14572522.3,4279,1319-25 MARKET ST,57164- Residence Inn Philadelphia - Center City,883704600,19107,1,1990,Hotel,243058,3351611,620800.1,,7866692.6,24,94.9,229.9,9511,2171.9,
36948445.6,4280,2000-24 MARKET ST,2000 Market Street,883320500,19103,1,1972,Office,665649,3894669,9671,,26772562.5,61,95.7,222.7,261.5,5876.9,
7051007.2,4290,1512-14 SPRUCE ST,The Drake,888071440,19102,1,1929,Multifamily Housing,177067,4936576,1871879.9,,15882348.9,3,140.1,244,10288,1936.2,
18051612.5,4418,23-31 N JUNIPER ST,311qp-Philadelphia - Downtown,883704700,19107,1,1999,Hotel,440000,3351492,910600,,23368025,56,96.2,194.9,19714,3602.4,
63011690,4426,1301-25 CHESTNUT ST,The Wanamaker Building,882497505,19107,1,1902,Office,1389838,1619606,1152980.3,,19514996.8,84,60.2,160.1,24989.4,8346.9,
67065248.4,4430,1201 MARKET ST,33703-Philadelphia,883704500,19107,1,1995,Hotel,1294004,3351512,87739295.1,,3141927.3,39,122.1,236.9,58203,12308.5,
20038116.4,4481,1000-32 CHESTNUT ST,Foerderer Pavilion,771013000,19107-4998,1,1954,Hospital (General Medical & Surgical),233930,3641702,205.2,,30412614.8,36,333.3,543,12850.8,5692.4,
85912215.2,4484,111 SOUTH11TH ST,Gibbon Building,771013000,19107-5098,1,1978,Hospital (General Medical & Surgical),778752,3635424,373771.8,,93471336.6,17,371.2,631.6,52037.5,21516,
95606901.4,4485,1701 JOHN F KENNEDY BLVD,L61864 - 1701 JFK Blvd,883056605,19103,1,2008,Office,1538959,1767519,2534817.5,,18333020,87,75.7,211.1,27638.2,11957.7,
104433097.1,4488,801-49 PINE ST,Pennsylvania Hospital,771002000,19104,9,1756,Hospital (General Medical & Surgical),873226,2561862,1094964.3,,112007334.8,32,249.1,531.2,67035.2,19080.1,
20229017.8,4504,1400 S PENN SQ,73R49-Philadelphia Ritz Carlton,883702100,19102,2,1990,Hotel,350000,3351793,2670999.8,,21512237.1,1,126.9,263.4,22987,3814.3,
104469810.2,4511,3800 POWELTON AVE,Penn Presbyterian Medical Center,774002001,19104,10,1922,Hospital (General Medical & Surgical),1027882,2867268,88028995.6,,10234089.7,55,197.2,421,81611.6,16944.1,
136877225,4514,3401-41 N BROAD ST,TEMPLE UNIVERSITY HOSPITAL SUPERBLOCK,777014000,19140,1,2000,Hospital (General Medical & Surgical),855189,3997483,223439.2,,112702516.8,9,292.1,661.4,43735.5,22679.1,
12217734,4531,1313-17 WALNUT ST,Goldman Properties - 1315 Walnut Street,883021000,19107,1,1923,Office,246310,4991740,147180.8,,2698184.7,85,61.2,169.6,2391.3,1542.3,
259361166.9,4540,3400 SPRUCE ST,Hospital of the University of Pennsylvania,773009000,19104,9,1913,Hospital (General Medical & Surgical),1791804,2848103,2119816.1,,281948852.3,8,303.3,645.1,186787.5,47604.7,
11282330.7,4409,230-34 W WASHINGTON SQ,Farm Journal,771005500,19107,1,1910,Medical Office,102855,3673215,10878.4,,13387405.4,5,240,501.1,13108.7,2141,
11312646.4,4412,122-30 S 9TH ST,Edison Building,771021000,19107-5233,1,1930,Office,244109,3641814,102.6,,8100812.5,63,79.5,185.4,8910.8,1792.8,
20144130.7,4603,1701-15 LOCUST ST,PLPH-Radisson Blu Warwick Hotel PA,883703900,19103,1,1926,Hotel,213500,6368164,2684409.4,,18041318.6,2,191.4,411.1,20658.4,3575.1,
10992860.1,4626,17 S 17TH ST,Westin Philadelphia Hotel,883704000,19103,1,1990,Hotel,256265,6236789,1287400,,7732893.2,58,78.1,176.3,18515,1801.3,
27420128.6,4648,900-10 WALNUT ST,JHN Building,771006900,19107,1,1980,Hospital (General Medical & Surgical),235648,3641686,2667.6,,23983278.1,57,279.4,549.1,9011,5395,
28131431.6,4651,1801 SOUTH ST,Penn Medicine At Rittenhouse,772032010,19146,1,1980,Hospital (General Medical & Surgical),272165,3117180,721811.4,,12810730.2,60,153.1,384,12250.7,4009.6,
8798892.9,4575,1100-04 WALNUT ST,Medical Office Building,771020500,19107-5563,1,1985,Medical Office,82972,3641728,1698953.4,,447.6,14,126.5,354.5,2670.5,1066.3,
24421779,4593,1601 N BROAD ST,Morgan Hall,881299110,19122,1,2000,Residence Hall/Dormitory,679622,4426304,419172.3,,20347670.6,34,103.8,186.8,14214.3,5419.6,
25373655.3,4594,100 S INDEPENDENCE MALL W,100 Independence- DOW Building,883013010,19106,1,1965,Office,415479,5705392,8905372.4,,2889724.3,87,89.5,222.6,6520,3479.6,
2462.5,3061,1300 E PALMER ST,Adaire,781352000,19125,1,1957,K-12 School,49890,4124436,3039586.3,,,97,61,64.1,380.4,161.7,
1467859.5,3499,912-28 WALNUT ST,Barringer Building,881008240,19114,1,1976,Multifamily Housing,140000,4968782,,,3309648.6,89,52.6,79.8,5554.3,518.8,
2583815.5,3668,201 S 11TH ST,Martin Building,881008255,19107,1,1959,Residence Hall/Dormitory,81525,3641704,,,3788323,32,144,221.2,2886.7,821,
2941802.5,3749,901-03 WALNUT ST,901 Walnut Street Building,771017500,19107,1,2010,Office,85000,3643346,,,4603108.7,57,165.5,250.5,507.9,975.6,
3393801.8,3772,1420-22 CHESTNUT ST,1420-22 Chestnut Street,883035500,19103,1,1948,Office,122000,3890976,,,2643993.7,94,49.5,113.4,2066.7,552,
4417707.5,3907,1216-20 ARCH ST,Young Smyth Field Condominium Association,Multiple,19107,1,1902,Office,125000,3884289,,,2122546.4,86,52.3,131.4,1762.9,631,
3999979.7,3914,112 N BROAD ST,centralized comprehensive human services,883023400,19102,1,1896,Medical Office,106218,3876067,,,2884453.2,65,64.8,150.9,1270.5,635.2,
4145146.7,3928,2100-12 ARCH ST,Jewish Federation,772636525,19103,1,1913,Office,120943,1973738,,,2575797.7,93,55.6,133.2,1596.8,630.9,
4148463.1,3930,1211-15 CHESTNUT ST,1211 Chestnut,883311500,19107,1,1919,Office,100572,3597401,,,2230687.1,83,63.4,156.2,935.2,608.3,
5010013.6,3936,919-21 WALNUT ST,Nevil Building,771695000,19107,1,1906,Office,135825,3642429,,,2949179.7,83,58.6,141.9,1500.6,751.6,
54884715.5,4200,200 S BROAD ST,The Bellevue,883701000,19102,1,1904,Office,684827,5498833,54942997.6,,,,157.8,330.5,34535,9006.7,
3741773.2,3866,3334-56 N PARK AVE,JONES HALL,881299300,19140,1,2000,Medical Office,103361,3965683,,,10109418,74,162.4,257.4,1838.6,1263.2,
3867727.2,3826,229 N 34TH ST,17-Van Rensselaer,881822860,19104,1,1931,Residence Hall/Dormitory,80202,3762540,,,4012028.5,31,98.2,211.6,3175.4,695.4,
3439899.9,3835,18-28 S 7TH ST,Balch Building,771752000,19107,1,1975,Office,84000,3964571,,,1609.2,89,41,128.6,681.7,381.7,
8103363.5,4191,1628-36 CHESTNUT ST,Club Quarters Hotel,883704900,19103,1,1927,Hotel,255000,6393594,,,3052471.3,93,43.7,103.4,7049.2,1023.6,
8910581.3,4054,1827-35 ARCH ST,The Lofts @ 1835 Arch,881035900,19103,1,2001,Multifamily Housing,269842,6322371,,,6045783.4,25,55.4,130.6,8990.1,1389.9,
5056253,4055,1930-34 CHESTNUT ST,The Republic,881564050,19103,1,1929,Multifamily Housing,125994,4457962,,,3018499.3,35,64.1,154.8,4675.4,761.3,
3167474.6,4056,400-14 WALNUT ST,The Broderick,881569810,19106,1,1920,Multifamily Housing,91900,4457963,,,1129994.1,49,46.8,123,2155.2,426.4,
5637719.3,4012,1015-19 CHESTNUT ST,1015 Chestnut Street,883310000,19107,1,1940,Office,135000,3890983,,,4729303.9,77,76.8,173.3,4377.5,939.4,
5792088.4,4020,1420-24 WALNUT ST,1420 Walnut,883039500,19102,1,1927,Office,108000,3642348,,,1328809.3,72,65.9,183.2,5001.7,730.8,
1939322.1,4129,301 S 8TH ST,301 Duncan,883102000,19107,1,1959,Medical Office,43739,4051987,,,5926220.5,22,179.8,302.2,1301,608.6,
29834766.8,4194,801 MARKET ST,801 Market Street,882506315,19107,1,1909,Office,616379,3498314,,,19238495,87,79.6,189.5,8382.7,4587,
30334693.1,4195,1501-39 MARKET ST,1515 Market Street,883337500,19102,1,1958,Office,564078,1476210,,,10726866.5,71,72.8,191.7,9196.9,4077.3,
30417932.2,4196,1622-50 ARCH ST,Arch 1650 Partners LP,883058000,19103,1,1974,Office,663328,1439909,,,17197191.1,84,71.8,175.2,8623.7,4516.2,
9596287.5,4215,901-15 CHESTNUT ST,PA0143ZZ-RN NIX FED BLDG & USPO,781051010,19107,1,1973,Office,404950,1299442,,,5315633,96,37.7,92.3,3503.1,1417.5,
32600438.5,4228,800-34 WALNUT ST 3,Walnut Towers,883400500,19106,1,1987,Medical Office,229920,3856432,,,4696544.7,9,162.2,469.8,11645.6,3928.2,
36608030.4,4257,1801-21 MARKET ST,12589 Ten Penn Center,883054000,19103,1,1981,Office,721408,26081,,,9471828.9,88,63.9,175.1,8027.8,4689.9,
19776248.8,4152,3600-90 WALNUT ST,Sansom Common,773566000,19104,1,1997,Hotel,259330,1782595,,,23194052.2,5,274.4,455.8,13999.3,5219.7,
25320697.7,4160,1600 JOHN F KENNEDY BLVD,Four Penn Center,883056000,19103,1,1964,Office,543134,1650661,,,14419517.2,80,73.2,178.3,4871.3,6970.1,
10436110.4,4326,3519-33 N BROAD ST,BOYER PAVILION,777533001,19140,1,2000,Hospital (General Medical & Surgical),172000,3969865,,,33866033.3,99,181,266,6682.5,4353.8,
10607628.2,4329,625 E WISTER ST,GT Penn & LTSR,"776008020; 776008030",19144,2,1980,Senior Care Community,182687,3857967,,,14200663.2,6,135.8,275.8,5645.3,2119.6,
15558170.7,4333,1500-14 LOCUST ST,1500 Locust,881030000,19102,1,1974,Multifamily Housing,677140,4432934,,,9052985,95,36.3,88.2,19394.7,2327,
42253866.8,4338,1631-37 ARCH ST,CO/GLC 11310/1631 ARCH ST/PHILADELPHIA/PA,772614000,19103,1,1905,Office,160661,3512076,,,5574308.4,1,297.7,867.6,3480,5057.4,
16892805.2,4364,2101 MARKET ST,Murano Condominium ASN,888094551,19103,1,2008,Multifamily Housing,598137,5023467,,,19776234.1,36,61.3,128.5,10242.8,3187,
48332993.1,4368,1700-40 MARKET ST,1700 Market Street,883032000,19103,1,1968,Office,934085,1060573,,,22007343.3,82,75.3,190.8,9911.6,6822.9,
49122734.6,4370,1818-28 MARKET ST,1818 Market St,883033001,19103,1,1973,Office,988092,29230,,,21348734.3,79,71.3,182.1,19124.9,6866.8,
11225295.8,4385,325 N 15TH ST,Stiles Alumni Hall,881038200,19104,1,1972,Residence Hall/Dormitory,186330,3762586,,,3586949.9,30,79.5,212.3,4512.2,1483.4,
17300969.1,4389,3521-35 MARKET ST,3535 Market,883073000,19104,1,1973,Medical Office,494608,1339876,,,3771034.5,93,42.6,119,4037.9,2169.6,
17669731.2,4394,700-34 RACE ST,Police Administration Building,781379300,19106,1,1956,Office,126000,4830355,,,6002871.8,4,187.9,497.7,5120.1,2358.7,
37453865.2,4282,1835 MARKET ST,1835 Market Street,883104005,19103,1,1986,Office,686503,19331,,,12585053.6,83,72.9,193.4,10657.6,4990.4,
40281628.4,4312,1601-23 MARKET ST,APF - 1601 Market Street,883338000,19103,1,1969,Office,713271,4179755,,,13754426.6,86,75.8,200.5,10789.7,5381.8,
40846519.2,4313,22-34 S 17TH ST,"SPUS7 United Plaza, L.P.",883051500,19103,1,1975,Office,718162,1440658,,,10370182.5,88,71.3,196,9885,5219.7,
7179284.7,4317,1501-15 CHESTNUT ST,The Avenir,881031014,19102,1,1909,Multifamily Housing,140000,5023391,,,1102873.3,48,59.2,170.5,4260.9,869.6,
17958369.4,4417,1915-19 CHESTNUT ST,William Penn House,881023000,19103,1,1965,Multifamily Housing,825000,4449983,,,10197131.3,80,42.3,103.2,16998.5,2669.2,
63844149.8,4427,1234 MARKET ST,SEPTA Headquarters,883309050,19107,1,1973,Office,775493,2363717,,,14070094.7,71,109.1,304.4,14966.3,8016.5,
100854693.8,4486,1500-42 MARKET ST,Centre Square - 1500 Market Street,883320000,19102,1,1974,Office,2054435,1750694,,,45441502.3,81,71.2,180.8,26205.4,14205.2,
8303149.8,4495,1832-44 SOUTH ST,Tuttleman Building,772036205,19146,1,1989,Medical Office,74460,3306120,,,5451900.4,8,184.7,438.2,3778.4,1283.1,
24487828.5,4497,150 S INDEPENDENCE MALL W,Public Ledger,883003510,19106,1,1927,Office,535382,1516957,,,16379738.1,77,76.3,180.4,10725.9,3804,
24508617.8,4498,3 BENJAMIN FRANKLIN PKWY,Three Parkway,883060510,19102,1,1970,Office,610065,4155239,,,8037550870,1,13215.1,15976.1,7496.4,536400.1,
25094175,4501,1500 JOHN F KENNEDY BLVD,2 Penn,883055500,19103,1,1956,Office,500000,3681289,,,6532048.7,82,63.3,173.3,14011.4,3217.4,
22244339.5,4534,200 W WASHINGTON SQ,The St. James,881567905,19106,1,2003,Multifamily Housing,415790,5023248,,,12363.5,21,53.5,168,21544.5,2468.4,
11470724.3,4441,1628 JOHN F KENNEDY BLVD,8 Penn,883056500,19103,1,1981,Office,235000,3679860,,,6381200.6,82,76,185.9,8940.2,1696.2,
18814719.9,4452,917-33 CHESTNUT ST,925 Chestnut Street,883313700,19107,1,1931,Medical Office,262308,3641781,,,11756004.8,61,116.5,279.1,7422.2,2867.7,
72481047.8,4457,1717 ARCH ST,Three Logan Square,883059004,19103,1,1990,Office,1218580,1218039,,,19352475.2,86,75.4,205.9,17413.5,9325.4,
73253354,4459,900-22 RACE ST,CO/GLC 16200/900 RACE ST/PHILADELPHIA/PA,771618000,19107,1,1905,Office,488657,3120916,,,5433702.9,1,161,484.1,9535,8486.8,
11292945.5,4410,1524-30 WALNUT ST,1528 Walnut,883041500,19102,1,1927,Office,206625,3663168,,,3270224.1,66,70.5,190.7,4319.1,1469.9,
9096173.6,4610,1001 LOCUST ST,Hamilton Building,771016000,19107,1,2007,Office,145375,3643275,,,6119489.1,69,104.7,247.1,3747.7,1415.4,
26564528.6,4621,1701 MARKET ST,1701 Market Street,883053530,19103,1,1957,Office,305170,3715845,,,3686894.4,50,99.1,287.9,6160.4,3191.6,
26711442.5,4622,3025-53 MARKET ST,Academic Properties,774524700,19104,2,1956,Office,598198,3776439,,,7104991.5,85,56.5,154.5,4545.5,3434.9,
27108398,4623,3020-52 MARKET ST,178-3020 MARKET,883071700,19104,1,1959,Office,207000,3365000,,,7368050.9,18,166.6,454,4473.6,3496.4,
27973572,4650,1 S BROAD ST,One South Broad,883318500,19107,1,1932,Office,526472,3820092,,,9275778.6,65,70.8,188,5484.9,3719,
23585160,4563,1901 JOHN F KENNEDY BLVD,"Kennedy House, Inc",881035500,19103,1,1968,Multifamily Housing,623183,4956634,,,7520891.9,47,49.9,133.4,12393.3,3115.7,
24415197.2,4592,1420 LOCUST ST,"""(PA3537)",772732000,19102,1,1977,Multifamily Housing,739800,4979554,,,11035259.9,48,47.9,121.6,2.2,3441.1,
3097062.5,3709,7100 HENRY AVE,Saul CTE,784190100,19128,1,1980,K-12 School,104018,3330742,3080292.5,3148884.1,,46,89.7,155.2,841.2,740.8,
364908.6,3165,1248 JACKSON ST,Our Lady of Hope,771514000,19148,1,1963,K-12 School,55831,4104890,100900.9,2031263.6,,97,44.7,59.2,509.9,196.6,
197888.9,3213,2100 S 21ST ST,St. Edmond Church,773235000,19145,1,1936,Worship Facility,85086,3751826,485418.7,1199703,,89,22.1,27.5,1541.3,136.8,
68185.4,3153,403 W SPRINGFIELD AVE,Chestnut Hill,775535510,19118,1,1900,K-12 School,220000,3881814,9026747.9,536902.8,,100,43.8,46.5,5.4,526.9,
582091,3252,1829 E CLEARFIELD ST,Conwell,786072800,19134,1,1926,K-12 School,55600,3330880,209363.1,3655896.2,,89,80,103.2,768.3,347,
633789.6,3261,6523-43 LANSDOWNE AVE,Cassidy,783262200,19151,1,1924,K-12 School,59123,3330855,154188.7,5271323.6,,26,102.5,126.4,614.6,469.7,
637915.4,3263,140-64 W SEYMOUR ST,Fitler,785435800,19144,1,1899,K-12 School,38000,3330922,43914.2,3858479.9,,10,119.5,156.5,770.6,359.4,
647289.5,3264,6801 N 19TH ST,Rowen,784552600,19126,1,1938,K-12 School,56400,3330969,272278.5,2971140,,79,69,94.3,1306.7,306.8,
650383.8,3265,1201-51 OAK LN,Ellwood,785360600,19126,1,1957,K-12 School,55621,3330954,227978.3,2685480,,71,64.1,89.8,1451,283.5,
3042159.3,3307,1197 HAWORTH ST,Edmunds HR,786182000,19124,1,1923,K-12 School,65570,4382044,272388,5482740.4,,9,134.2,234.5,1019.8,758.8,
782631.6,3322,2100 S 18TH ST,Girard,782720400,19145,1,1957,K-12 School,66685,3330821,107352.4,2863500.3,,61,56.3,81.9,1436.4,305,
1991854.6,3338,4555 PECHIN ST,Salvation Army,775713501,19128,1,1940,Distribution Center,162397,3853073,1203116.9,6867887.7,,62,62,89,1822.5,794.5,
2004969.3,3342,2922 MEMPHIS ST,Jones,786324800,19134,1,1924,K-12 School,118000,3330873,503494.8,6359039.8,,77,75.1,112.3,791.5,721.1,
2018925.1,3343,2101 S 24TH ST,Vare EH,782808000,19139,1,1980,K-12 School,120000,3330811,387814.4,8245085.6,,53,88.8,125.6,755.8,856.4,
1085554.4,3356,4300 BLEIGH AVE,Forrest,786039800,19136,1,1928,K-12 School,63250,3330761,777871.6,2801814,,65,73.8,111.5,531.5,369.7,
1090163.3,3359,2000-46 N 7TH ST,Ferguson,781551800,19122,1,1922,K-12 School,99864,3330887,234107.6,5750321.9,,54,70.8,94.9,788.3,560.1,
1098593.7,3361,7501 WOODBINE AVE,Lamberton,783600400,19151,1,1949,K-12 School,110193,4385174,329668.9,4775627.7,,92,56.3,78.2,1425.6,493.8,
947604.9,3369,7001 BUIST AVE,Patterson,783072600,19142,1,1921,K-12 School,72876,3333128,282474,5231994.1,,50,88.7,117.4,1604.9,508.4,
969078.6,3376,6801 COTTAGE ST,Disston,786081400,19135,1,1923,K-12 School,67842,3330760,236790.1,4911971.6,,38,90.2,121.6,818.7,484.6,
970099.8,3377,2901 W ALLEGHENY AVE,Mercy Vocational High School,775069000,19129,1,1910,K-12 School,61320,4193921,4899331.2,0,,83,95.7,133.6,272.3,367.8,
975431.1,3379,3500 MIDVALE AVE,Mifflin,784249400,19129,1,1937,K-12 School,62100,3339033,6500130.6,0,,19,120.4,159.2,886,453.5,
994393.6,3384,6101 N FRONT ST,Finletter,785202400,19120,1,1930,K-12 School,62760,3330748,124671.9,3761879.9,,56,77.8,112.4,1508.2,396.1,
656539.1,3267,1501 SELLERS ST,Marshall J,786487800,19124,1,1909,K-12 School,58450,3330751,79952.7,2539337.9,,73,56,80.6,501.6,265.5,
678547.5,3274,5000 N 17TH ST,Logan,785689600,19141,1,1924,K-12 School,65000,3330928,209151.8,4142622.1,,29,77.4,100.5,1017.1,393.8,
3010862.4,3289,4901-31 CHESTNUT ST,West Philadelphia New,783094900,19139,1,2011,K-12 School,170013,3330726,6557068.5,0,,79,56.3,96.1,2700.3,682.3,
886090.6,3293,2501 S 5TH ST,Taggart,781490600,19148,1,1916,K-12 School,66000,3330842,64883.7,3857651.9,,72,72.9,102.2,4311,388,
895503.6,3298,1034-42 S 60TH ST,Anderson,783782600,19143,1,1963,K-12 School,68235,4124435,151370.4,2249365.4,,70,48.3,76.8,782.1,274.3,
904285.4,3300,5950 RIDGE AVE,Levering Amy Northwest,784378000,19128,1,1929,K-12 School,69475,3330927,50653.3,1173275.9,,98,30.6,58.7,267.1,190.1,
904312.7,3301,1720-58 N 12TH ST,Dunbar,781641600,19122,1,1932,K-12 School,53200,3330883,63252.8,3445998.1,,45,83,120,479.8,359.4,
906697,3302,601 CARPENTER ST,Nebinger,781042400,19147,1,1925,K-12 School,59000,3330839,84793.7,4338582,,30,90.3,124,734.9,427,
915601.3,3303,330 E WYOMING AVE,Barton,785531800,19120,1,1925,K-12 School,72200,4123953,208232.7,2787810.4,,78,54.2,81.8,606.7,319.5,
