parcelId,BuildingType,PrimaryPropertyType,LargestPropertyUseType,YearBuilt,NumberofBuildings,NumberofFloors,SourceEUI,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse,Building Description,Building Gross Sq Ft,Building Net Sq Ft,Building Number,Building Quality,Construction Class,Eff. Year,Elevators,Heating System,Number Of Buildings Aggregated,Percentage Complete,Predominant Use,Shape,Sprinklers,Stories,Year Built
0942000235,NonResidential,Hotel,Hotel,1980,1,33,179.8999939,315952,58,22325364,CROWNE PLAZA,315952,258352,1,GOOD/EXCELLENT,STRUCTURAL STEEL,1990,Yes,WARMED AND COOLED AIR,1,100,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,33,1980
0942000265,NonResidential,Hotel,Hotel,1922,1,11,297.3999939,92190,35,10750010,HOTEL VINTAGE,67390,67390,1,AVERAGE/GOOD,REINFORCED CONCRETE,1995,Yes,STEAM,1,100,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,11,1922
0942000275,Nonresidential COS,Other,Library,2004,1,11,155.6000061,412000,,18588860,Public Library,412000,412000,1,EXCELLENT,STRUCTURAL STEEL,2004,Yes,COMPLETE HVAC,1,100,"LIBRARY, PUBLIC (337)",Very Irreg,Yes,11,2004
0942000350,NonResidential,Other,Fitness Center/Health Club/Gym,1930,1,6,157.3999939,103911,,9956396,YMCA (BUILDING #2),103911,97231,1,AVERAGE/GOOD,REINFORCED CONCRETE,1989,Yes,HOT WATER,1,100,"HOTEL, LIMITED (332)",Long Rect or Irreg,Yes,6,1930
0942000430,NonResidential,Hotel,Hotel,1983,1,28,228.5,416281,31,33556756,RENAISSANCE MADISON HOTEL,427472,331281,1,GOOD,STRUCTURAL STEEL,2000,Yes,WARMED AND COOLED AIR,1,100,"HOTEL, FULL SERVICE (841)",Rect or Slight Irreg,Yes,28,1983
0942000510,NonResidential,Mixed Use Property,Social/Meeting Hall,1907,1,5,280.7000122,57452,,7606084.5,PRIVATE CLUB,57452,57452,1,AVERAGE,MASONRY,1980,Yes,STEAM,1,100,CLUBHOUSE (311),Rect or Slight Irreg,Yes,5,1907
0942000610,NonResidential,Hotel,Hotel,1916,1,10,225.5,104352,39,10154608,DOUBLETREE ARCTIC HOTEL,104352,83964,1,GOOD,REINFORCED CONCRETE,1995,Yes,COMPLETE HVAC,1,100,"HOTEL, FULL SERVICE (841)",Rect or Slight Irreg,Yes,10,1916
0942000860,NonResidential,Other,Courthouse,1916,1,10,182.6999969,540360,76,44984468,KING COUNTY COURTHOUSE,540360,482760,1,GOOD,REINFORCED CONCRETE,1995,Yes,COMPLETE HVAC,1,100,GOVERNMENT BUILDING (327),Rect or Slight Irreg,Yes,10,1916
0942001010,NonResidential,Other,Other,1985,1,19,229.5,385274,,47859812,COUNTY JAIL,385274,385274,1,AVERAGE/GOOD,REINFORCED CONCRETE,1990,Yes,WARMED AND COOLED AIR,1,100,JAIL-CORRECTIONAL FACILITY (335),Rect or Slight Irreg,Yes,19,1985
1102000138,SPS-District K-12,K-12 School,K-12 School,1961,1,2,60.70000076,56228,95,1539478.5,ELEMENTARY SCHOOL,60800,60800,1,AVERAGE,MASONRY,1995,,HEAT PUMP,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,2,1961
1142000755,NonResidential,Hotel,Hotel,2001,1,6,148,88592,84,3663534.5,WATERTOWN HOTEL,88592,40000,1,GOOD,REINFORCED CONCRETE,2010,Yes,EVAPORATIVE COOLING,1,100,"HOTEL, LIMITED (332)",Very Irreg,Yes,6,2001
0660001420,NonResidential,University,College/University,1928,1,7,173,126593,,11343686,COLLEGE BUILDING,126593,126593,1,AVERAGE,REINFORCED CONCRETE,1990,Yes,COMPLETE HVAC,1,100,COLLEGE (ENTIRE) (377),Rect or Slight Irreg,Yes,7,1928
0660001725,NonResidential,Other,Automobile Dealership,1930,1,2,61.20000076,67224,,1310236.625,AUTOMOBILE DEALERSHIP,67224,67224,1,AVERAGE,MASONRY,1975,,HOT WATER,1,100,"GARAGE, SERVICE REPAIR (528)",Rect or Slight Irreg,Yes,2,1930
0660001832,NonResidential,Hotel,Hotel,1991,1,8,58,158676,,5328051.5,HOMEWOOD SUITES BY HILTON -  PIKE ST,158676,128375,1,GOOD,REINFORCED CONCRETE,1995,Yes,HEAT PUMP,1,100,"HOTEL, SUITE (842)",Long Rect or Irreg,Yes,8,1991
0660002680,NonResidential,Hotel,Hotel,2001,1,10,181.1000061,171866,57,11061916,SPRINGHILL SUITES - SEATTLE,171866,96001,1,AVERAGE/GOOD,REINFORCED CONCRETE,2005,Yes,COMPLETE HVAC,1,100,"HOTEL, FULL SERVICE (841)",Very Irreg,Yes,10,2001
0688000090,SPS-District K-12,K-12 School,K-12 School,1955,1,1,0,126351,,0,SCHOOL,94620,94620,1,AVERAGE,MASONRY,1980,,WARMED AND COOLED AIR,1,100,JUNIOR HIGH SCHOOL (ENTIRE) (366),Rect or Slight Irreg,No,1,1902
0697000170,NonResidential,Hotel,Hotel,1978,1,5,199.6999969,68410,57,4456714.5,HOTEL 5,68410,52210,1,AVERAGE,WOOD FRAME,2003,Yes,ELECTRIC WALL,1,100,"HOTEL, LIMITED (332)",Rect or Slight Irreg,Yes,5,1978
0752000170,SPS-District K-12,K-12 School,K-12 School,1949,1,2,68.09999847,160645,75,6779173,School,156743,156743,1,AVERAGE/GOOD,MASONRY,1965,,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,2,1950
0809000005,SPS-District K-12,K-12 School,K-12 School,1989,1,2,0,51582,,0,SCHOOL,50885,50885,1,GOOD,WOOD FRAME,1989,,WARMED AND COOLED AIR,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,2,1989
0825049008,NonResidential,Small- and Mid-Sized Office,Office,1906,1,3,106.5,87262,,4145920.5,,,,,,,,,,,,,,,,
0925049117,NonResidential,Hotel,Hotel,1994,1,4,162.5,81871,29,6668568.5,SILVER CLOUD INN UNIVERSITY,81871,81871,1,AVERAGE,WOOD FRAME,2005,Yes,HEAT PUMP,1,100,"Hotel, Limited Service (595)",Rect or Slight Irreg,Yes,4,1994
0925049330,NonResidential,Self-Storage Facility,Self-Storage Facility,1955,1,2,35.20000076,110356,,318364.8125,SUPERMARKET,126394,126394,1,AVERAGE,REINFORCED CONCRETE,1995,Yes,WARMED AND COOLED AIR,1,100,SUPERMARKET (446),Rect or Slight Irreg,Yes,2,1955
0022000005,Campus,Mixed Use Property,Office,1992,1,3,388.2000122,494835,8,448385312,ISAL  (BLDG 2-122),525975,382773,1,AVERAGE,PREFAB STEEL,1992,Yes,HOT & CHILLED WATER,1,100,INDUSTRIAL ENGINEERING BUILDING (392),Rect or Slight Irreg,Yes,3,1992
0323049024,NonResidential,Warehouse,Non-Refrigerated Warehouse,1961,3,2,145.8999939,714095,,44731160,WHSE,606161,606161,1,LOW/AVERAGE,MASONRY,1969,,SPACE HEATERS,4,100,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,1952
0369000400,SPS-District K-12,K-12 School,K-12 School,1990,1,2,77.80000305,54986,97,1650279.25,school-DISCOVERY EARLY,52546,52546,1,AVERAGE/GOOD,MASONRY,2000,Yes,HEAT PUMP,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,2,1989
0425049022,SPS-District K-12,K-12 School,K-12 School,1950,1,2,55,175565,88,6399127.5,SCHOOL,205000,205000,1,GOOD,MASONRY,1949,,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,2,1950
0467000429,NonResidential,Small- and Mid-Sized Office,Office,1961,1,2,163,94900,57,6186461.5,WHSE & OFFICE,94900,94900,1,LOW/AVERAGE,MASONRY,1961,,WARMED AND COOLED AIR,1,0,STORAGE WAREHOUSE (406),Rect or Slight Irreg,,2,1961
0570000340,NonResidential,Small- and Mid-Sized Office,Office,1900,1,2,108.6999969,52554,83,2951331.25,CULTURAL CENTER,52554,52554,1,AVERAGE,WOOD FRAME,1970,Yes,HOT WATER-RADIANT,1,100,GOVERNMENT COMMUNITY SERVICE BUILDING (491),Rect or Slight Irreg,Yes,2,1900
0625049002,NonResidential,K-12 School,K-12 School,1954,1,3,74,175015,95,6994740.5,BLANCHETT,188597,188597,1,GOOD,MASONRY,1988,,HOT WATER,1,100,HIGH SCHOOL (ENTIRE) (484),Rect or Slight Irreg,Yes,3,1954
0653000225,NonResidential,Self-Storage Facility,Self-Storage Facility,1911,1,3,76.59999847,70586,,2158629,VINE STREET STORAGE,51500,31127,1,AVERAGE,MASONRY,1980,,SPACE HEATERS,1,100,"MINI WAREHOUSE, HI-RISE (525)",Rect or Slight Irreg,No,3,1911
1975700040,NonResidential,Hotel,Hotel,1969,1,24,121.8000031,332210,67,16163194,,,,,,,,,,,,,,,,
1975700200,NonResidential,Large Office,Office,1973,1,5,176.6000061,168115,78,9536161,OFFICE / RETAIL BUILDING (GOTTSTEIN),88717,83367,1,AVERAGE/GOOD,REINFORCED CONCRETE,1990,Yes,COMPLETE HVAC,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,1973
1975700365,NonResidential,Other,Other - Mall,1920,1,2,48.79999924,57428,,1247362,RETAIL,57428,37268,1,AVERAGE,REINFORCED CONCRETE,1970,Yes,HEAT PUMP,1,100,RETAIL STORE (353),Rect or Slight Irreg,Yes,2,1920
1975700380,NonResidential,Small- and Mid-Sized Office,Office,1910,1,8,398.7000122,59400,14,5071974,OFFICE BUILDING,59400,39940,1,AVERAGE,REINFORCED CONCRETE,1974,Yes,COMPLETE HVAC,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,8,1910
1975700525,NonResidential,Mixed Use Property,Other - Entertainment/Public Assembly,1926,1,2,485.2999878,52549,,15026196,Restaurant/Office,52549,46358,1,AVERAGE,REINFORCED CONCRETE,1984,Yes,STEAM WITHOUT BOILER,1,100,"RESTAURANT, TABLE SERVICE (350)",Rect or Slight Irreg,Yes,2,1926
1976700010,NonResidential,Hotel,Hotel,1930,1,20,158.6000061,98634,71,4841347.5,HOTEL THEODORE,98634,88591,1,GOOD,MASONRY,1995,Yes,PACKAGE UNIT,1,100,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,20,1930
1976700095,NonResidential,Hotel,Hotel,1982,1,34,182.5,994212,63,80469216,SHERATON HOTEL & GARAGE,763898,617204,1,EXCELLENT,STRUCTURAL STEEL,2000,Yes,WARMED AND COOLED AIR,1,100,"HOTEL, FULL SERVICE (841)",Rect or Slight Irreg,Yes,34,1982
1977200050,NonResidential,Hotel,Hotel,1985,1,7,215.8999939,71150,98,5348309,INN AT THE MARKET HOTEL,71150,57424,1,GOOD,STRUCTURAL STEEL,1998,Yes,HEAT PUMP,1,100,"HOTEL, FULL SERVICE (841)",Long Rect or Irreg,Yes,7,1985
1977201035,NonResidential,Hotel,Hotel,1908,1,7,68.19999695,122810,99,5401277.5,MOORE HOTEL & THEATRE,122810,95530,1,AVERAGE,MASONRY,1980,Yes,STEAM WITHOUT BOILER,1,100,"HOTEL, LIMITED (332)",Long Rect or Irreg,Yes,7,1908
1991200730,NonResidential,Hotel,Hotel,1959,1,5,165.6999969,113173,86,5284343.5,QUALITY INN & SUITES - SEATTLE,113173,70627,1,AVERAGE,MASONRY,1995,Yes,HOT WATER,1,100,"HOTEL, LIMITED (332)",Long Rect or Irreg,Yes,5,1959
1991200935,NonResidential,Hotel,Hotel,2000,1,7,128,150453,84,6715187,HOLIDAY INN - SEATTLE,150453,115718,1,AVERAGE,WOOD FRAME,2000,Yes,COMPLETE HVAC,1,100,"HOTEL, FULL SERVICE (841)",Very Irreg,Yes,7,2000
1991200940,NonResidential,Hotel,Hotel,1997,1,6,144.5,116300,80,5827595.5,HOLIDAY INN EXPRESS & SUITES - SEATTLE,116300,87250,1,AVERAGE,REINFORCED CONCRETE,2005,Yes,PACKAGE UNIT,1,100,"HOTEL, LIMITED (332)",Long Rect or Irreg,Yes,6,1997
1992200235,NonResidential,Hotel,Hotel,1998,1,6,107.4000015,155602,81,6836900,HOMEWOOD SUITES SEATTLE (QA),155602,118858,1,AVERAGE/GOOD,REINFORCED CONCRETE,2005,Yes,WARMED AND COOLED AIR,1,100,"HOTEL, SUITE (842)",Very Irreg,Yes,6,1998
2125049015,NonResidential,K-12 School,K-12 School,1911,1,3,81.09999847,56072,76,3234787.75,SCHOOL,56072,56072,1,GOOD,MASONRY,1990,Yes,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Very Irreg,Yes,3,1911
2249000170,NonResidential,Hotel,Hotel,1999,1,4,136.6999969,122942,94,5337334,FOUR POINTS BY SHERATON,122987,78096,1,AVERAGE/GOOD,WOOD FRAME,2003,Yes,HEAT PUMP,1,100,"HOTEL, SUITE (842)",Long Rect or Irreg,Yes,4,1999
2254501944,NonResidential,Small- and Mid-Sized Office,Office,1962,1,2,139.6000061,54984,71,3375211,SOCIAL SERVICES OFFICE,54984,52493,1,AVERAGE,WOOD FRAME,1989,,HOT WATER,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,2,1962
2324039001,NonResidential,Senior Care Community,Senior Care Community,1922,1,5,235,217603,54,42792072,NURSING HOME,217603,217603,1,AVERAGE/GOOD,MASONRY,1985,Yes,HOT WATER,1,100,CONVALESCENT HOSPITAL (313),Rect or Slight Irreg,Yes,5,1922
2426039059,NonResidential,Senior Care Community,Senior Care Community,1970,1,2,311.5,93397,1,16402563,Nursing Home,93397,93397,1,AVERAGE,MASONRY,1980,Yes,HOT WATER,1,100,CONVALESCENT HOSPITAL (313),Rect or Slight Irreg,Yes,2,1970
2467400430,NonResidential,Hotel,Hotel,2008,1,6,154.1999969,84103,74,3706100.25,Seattle Cancer Care Housing,83330,42058,1,AVERAGE,REINFORCED CONCRETE,2010,Yes,COMPLETE HVAC,1,100,"HOTEL, LIMITED (332)",Rect or Slight Irreg,Yes,6,2008
2518400005,SPS-District K-12,K-12 School,K-12 School,1948,1,2,0,53352,,0,ARBOR HEIGHTS ELEMENTARY SCHOOL,78972,78972,1,GOOD,WOOD FRAME,2016,,COMPLETE HVAC,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Very Irreg,Yes,3,2016
1978201270,NonResidential,Medical Office,Medical Office,1965,0,3,213.3999939,179014,48,16701055,"MEDICAL OFFICE, North Building",60601,57882,1,AVERAGE,REINFORCED CONCRETE,1980,Yes,STEAM,1,100,MEDICAL OFFICE (341),Rect or Slight Irreg,Yes,3,1965
1979200270,NonResidential,Hotel,Hotel,1908,1,7,172,76631,71,7258758.5,SORRENTO HOTEL,76631,76631,1,EXCELLENT,MASONRY,1995,Yes,HEAT PUMP,1,100,"HOTEL, FULL SERVICE (841)",Rect or Slight Irreg,Yes,7,1908
1979200290,NonResidential,Mixed Use Property,Medical Office,1983,1,6,505.7999878,99780,,15473117,Bloodworks Northwest,121099,82486,1,GOOD,REINFORCED CONCRETE,1994,Yes,PACKAGE UNIT,1,100,LABORATORIES (496),Rect or Slight Irreg,Yes,6,1983
1983200230,NonResidential,Retail Store,Retail Store,1929,1,2,25.799999239999998,58320,96,1049748.625,GARAGE SERVICE,58320,58320,1,AVERAGE,REINFORCED CONCRETE,1970,,SPACE HEATERS,1,100,"BASEMENT, UNFINISHED (703)",Rect or Slight Irreg,Yes,2,1929
1983200325,NonResidential,Large Office,Office,2010,1,5,144,316306,96,13795954,Amazon Obidos (north),166961,164363,1,GOOD,REINFORCED CONCRETE,2010,Yes,COMPLETE HVAC,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,2010
1984200065,NonResidential,Hotel,Hotel,1990,1,7,184,282863,37,19459304,MARRIOTT RESIDENCE INN,282863,238097,1,GOOD/EXCELLENT,WOOD FRAME,1995,Yes,HEAT PUMP,1,100,"HOTEL, SUITE (842)",Rect or Slight Irreg,Yes,7,1990
1985200003,Nonresidential COS,Other,Other,1962,1,1,151.6000061,389000,,23658978,KEY ARENA,129000,129000,1,GOOD,STRUCTURAL STEEL,1998,Yes,HEAT PUMP,1,100,AUDITORIUM (302),Rect or Slight Irreg,Yes,1,1962
1985200003,Nonresidential COS,Other,Other,1962,1,1,261.7000122,91213,,8141155.5,KEY ARENA,129000,129000,1,GOOD,STRUCTURAL STEEL,1998,Yes,HEAT PUMP,1,100,AUDITORIUM (302),Rect or Slight Irreg,Yes,1,1962
1985200305,Nonresidential COS,Other,Other,1938,1,5,138.1000061,396085,,20955026,SEATTLE CENTER HOUSE,396085,396085,1,AVERAGE/GOOD,STRUCTURAL STEEL,1998,Yes,HOT WATER,1,100,ARCADE (573),Rect or Slight Irreg,Yes,5,1938
1986200410,NonResidential,Large Office,Office,2010,1,12,174.1999969,571329,91,39605888,Dawson (phase 4 north bldg),282162,282162,1,GOOD,STRUCTURAL STEEL,2010,Yes,COMPLETE HVAC,1,100,OFFICE BUILDING (344),Long Rect or Irreg,Yes,12,2010
1988200440,Nonresidential COS,Other,Other,1962,1,2,110.4000015,52000,,2726369,PLAYHOUSE,36864,36864,1,GOOD/EXCELLENT,STRUCTURAL STEEL,1990,,WARMED AND COOLED AIR,1,100,"THEATER, LIVE STAGE (379)",Rect or Slight Irreg,Yes,1,1962
1988200700,Nonresidential COS,Other,Other,1928,1,1,25.5,60696,,875943.3125,OPERA HOUSE,262048,262048,2,EXCELLENT,STRUCTURAL STEEL,2002,Yes,COMPLETE HVAC,1,100,"THEATER, LIVE STAGE (379)",Rect or Slight Irreg,Yes,2,1928
1988200700,Nonresidential COS,Other,Other,1928,1,2,171.1999969,262048,,20723248,OPERA HOUSE,262048,262048,2,EXCELLENT,STRUCTURAL STEEL,2002,Yes,COMPLETE HVAC,1,100,"THEATER, LIVE STAGE (379)",Rect or Slight Irreg,Yes,2,1928
1988200705,NonResidential,Small- and Mid-Sized Office,Office,1986,0,2,235.1999969,66240,,4166306.25,T.V. STUDIOS & OFFICES,66240,63888,1,GOOD,MASONRY,1990,,WARMED AND COOLED AIR,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,No,2,1986
1988201155,NonResidential,Large Office,Office,2010,1,6,130.8000031,920598,93,36667044,Office Building A - NW corner of site,430191,299882,1,EXCELLENT,STRUCTURAL STEEL,2011,Yes,COMPLETE HVAC,1,100,OFFICE BUILDING (344),Very Irreg,Yes,6,2010
1989200850,NonResidential,Small- and Mid-Sized Office,Office,1970,1,4,192.3999939,76213,68,3476212.5,OFFICE BUILDING,76213,48500,1,AVERAGE,REINFORCED CONCRETE,1985,Yes,HEAT PUMP,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,4,1970
1989201125,NonResidential,Hotel,Hotel,2002,1,6,182.1999969,96910,56,5155568.5,THE MEDITERREAN INN - SEATTLE,117738,59976,1,GOOD,REINFORCED CONCRETE,2002,Yes,FORCED AIR UNIT,1,100,"HOTEL, LIMITED (332)",Rect or Slight Irreg,Yes,6,2002
1142001871,NonResidential,Hotel,Hotel,1962,2,4,203.3000031,50017,53,5448975,UNIVERSITY INN,50017,50017,1,AVERAGE,MASONRY,2000,Yes,ELECTRIC WALL,1,100,"HOTEL, LIMITED (332)",Rect or Slight Irreg,Yes,4,1962
1324039116,SPS-District K-12,K-12 School,K-12 School,1999,1,3,0,74468,,0,ELEMENTARY SCHOOL,68509,68509,1,GOOD,MASONRY,2005,,STEAM,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Very Irreg,,3,1999
1336800825,NonResidential,K-12 School,K-12 School,1923,1,3,82.30000305,67743,34,2646879,ST JOSEPH'S CHURCH,40137,40137,1,AVERAGE/GOOD,STRUCTURAL STEEL,1970,,HOT WATER,1,100,CHURCH (309),Rect or Slight Irreg,Yes,1,1929
1338800660,NonResidential,K-12 School,K-12 School,1908,1,6,54,194104,100,6219841.5,HOLY NAMES ACADAMY,133522,133522,1,GOOD,MASONRY,1985,,HOT WATER,1,100,HIGH SCHOOL (ENTIRE) (484),Rect or Slight Irreg,No,6,1908
1498303116,NonResidential,Small- and Mid-Sized Office,Office,2003,1,3,241.5,99433,63,4897760,THE 2100 BUILDING,99433,39202,1,GOOD/EXCELLENT,REINFORCED CONCRETE,2003,,COMPLETE HVAC,1,100,OFFICE BUILDING (344),Long Rect or Irreg,,3,2003
1524049002,SPS-District K-12,K-12 School,K-12 School,1991,1,2,0,58933,,0,ELEMENTRY SCHOOL,56827,56827,1,GOOD,MASONRY,1985,,WARMED AND COOLED AIR,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,2,1970
1624049214,SPS-District K-12,K-12 School,K-12 School,1957,1,1,85.59999847,130862,61,6456026,ASA MERCER JUNIOR HIGH,60570,60570,1,AVERAGE/GOOD,MASONRY,1965,,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Very Irreg,Yes,1,1957
1704900242,SPS-District K-12,K-12 School,K-12 School,1989,1,3,78.69999695,59955,93,1633399.375,WHITWORTH ELEM SCHOOL,59331,59331,1,GOOD,STRUCTURAL STEEL,1989,,HEAT PUMP,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,3,1989
1794501220,SPS-District K-12,K-12 School,K-12 School,1964,1,2,65.90000153,93218,86,2887392,SCHOOL,105308,105308,1,GOOD,MASONRY,1985,,HOT WATER,1,100,JUNIOR HIGH SCHOOL (ENTIRE) (366),Rect or Slight Irreg,No,2,1964
1797500625,NonResidential,Other,Other,1941,1,4,407.3999939,56521,,6357632,TELEPHONE EXCHANGE BLDG,56521,56521,1,AVERAGE,REINFORCED CONCRETE,1985,,STEAM,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,No,4,1941
1797500715,NonResidential,Other,Other,1929,1,2,72.59999847,206934,,4253577.5,Dania/Retail,71233,71233,1,GOOD/EXCELLENT,MASONRY,2000,,HEAT PUMP,1,100,RETAIL STORE (353),Rect or Slight Irreg,Yes,2,1929
1926049012,NonResidential,Hotel,Hotel,2001,1,4,130.6999969,51390,89,3611538,HOLIDAY INN EXPRESS,51390,51390,1,AVERAGE,WOOD FRAME,2005,Yes,FORCED AIR UNIT,1,100,"HOTEL, LIMITED (332)",Rect or Slight Irreg,Yes,4,2001
1926049025,SPS-District K-12,K-12 School,K-12 School,1963,1,2,59.09999847,131013,88,3894584.5,BROADVIEW THOMAS ELEMENTARY SCHOOL,127347,127347,1,GOOD,MASONRY,1977,,WARMED AND COOLED AIR,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,2,1963
1926049321,SPS-District K-12,K-12 School,K-12 School,1959,1,1,83.69999695,245587,92,11765682,HIGH SCHOOL BUILDING #1 (MAIN),133124,133124,1,GOOD,MASONRY,1975,,FORCED AIR UNIT,1,100,HIGH SCHOOL (ENTIRE) (484),Rect or Slight Irreg,Yes,1,1959
1926049434,NonResidential,Hotel,Hotel,2002,1,3,101.5999985,69138,78,3242458,EXTENDED STAY AMERICA,69138,53203,1,AVERAGE,WOOD FRAME,2010,Yes,WARMED AND COOLED AIR,1,100,"HOTEL, SUITE (842)",Long Rect or Irreg,Yes,3,2002
1931301145,SPS-District K-12,K-12 School,K-12 School,1991,1,3,0,66588,,0,SCHOOL,66819,66819,1,GOOD,MASONRY,1987,,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,3,1900
