parcelId,BuildinDescription,ENERGYSTARScore,SiteEnergyUse,SourceEUI,PropertyGFATotal,BuildinQuality,ConstructioClass,EffYear,YearBuilt,Elevators,HeatinSystem,NumbeOBuildingAggregated,PredominanUse,Shape,Sprinklers,NumberofFloors,PredominantUseCode,HeatinSystemCode,SiteEnergyUseLog
0354000254,Mixed Use Office and Apartments w/ Pkg.,32,1997181.5,63.09999847,93079,GOOD,WOOD FRAME,8,18,Yes,ELECTRIC WALL,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,,3,459,ELECTRIC WALL,14.507247494597534
0369000400,school-DISCOVERY EARLY,97,1650279.25,77.80000305,54986,AVERAGE/GOOD,MASONRY,18,28,Yes,HEAT PUMP,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,2,365,HEAT PUMP,14.316455073981123
0369000780,MAGNOLIA MANOR,65,695955.8125,90.80000305,24059,AVERAGE,WOOD FRAME,28,56,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,No,3,352,ELECTRIC WALL,13.453041449513766
0424049024,NURSING CARE FOR ELDERLY,72,9097980,119.5,66402,AVERAGE,MASONRY,38,55,Yes,WARMED AND COOLED AIR,1,CONVALESCENT HOSPITAL (313),Rect or Slight Irreg,Yes,3,313,WARMED AND COOLED AIR,16.023562968824333
0425049010,LAKEVIEW COURT,68,1742351.25,90.40000153,76285,AVERAGE,WOOD FRAME,17,30,Yes,ELECTRIC WALL,2,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL,14.370746052119285
0425049013,VISTA POINT,90,864004.625,90.69999695,46873,AVERAGE/GOOD,WOOD FRAME,18,28,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,ELECTRIC WALL,13.669333400781124
0425049065,Mixed Use Multi Res,,681354.1875,92.30000305,27160,AVERAGE,WOOD FRAME,12,20,,ELECTRIC,1,APARTMENT (300),Very Irreg,,3,300,ELECTRIC,13.431837549045923
0431000005,CHURCH,90,778355.8125,56.40000153,22220,AVERAGE,WOOD FRAME,43,61,,FORCED AIR UNIT,1,CHURCH (309),Rect or Slight Irreg,No,2,309,FORCED AIR UNIT,13.56493904115629
0439000615,SCHOOL,87,2331952.75,79,46732,AVERAGE,MASONRY,38,63,Yes,HOT WATER,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,1,365,HOT WATER,14.662216564669206
0455000730,SKYVIEW TERRACE APTS,68,1422814.375,80.09999847,26211,AVERAGE/GOOD,WOOD FRAME,26,59,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,2,352,HOT WATER,14.168147422322802
0461002400,CHURCH,90,509836.1875,22.89999962,33589,AVERAGE/GOOD,WOOD FRAME,28,104,,FORCED AIR UNIT,1,CHURCH (309),Rect or Slight Irreg,No,2,309,FORCED AIR UNIT,13.141844752124033
0467000050,ALASKA OUTPORT TRANSPORTATION ASSN,2,3989399,191.8000031,52500,LOW/AVERAGE,PREFAB STEEL,43,45,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,,1,406,SPACE HEATERS,15.19915115095431
0467000420,WHSE & OFFICE,55,4560492,151.1999969,57300,LOW/AVERAGE,MASONRY,59,59,,HOT WATER,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,2,406,HOT WATER,15.332941070407193
0467000429,WHSE & OFFICE,57,6186461.5,163,94900,LOW/AVERAGE,MASONRY,57,57,,WARMED AND COOLED AIR,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,,2,406,WARMED AND COOLED AIR,15.637873833388806
0653000130,ELLIS COURT,95,1007356.313,81,39050,AVERAGE,WOOD FRAME,16,28,Yes,ELECTRIC WALL,1,APARTMENT (300),Long Rect or Irreg,Yes,5,300,ELECTRIC WALL,13.822839945262423
0653000150,First and Vine - formerly SUNSET HOUSE,13,3116420.25,182.1000061,77800,AVERAGE,MASONRY,17,38,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,8,300,ELECTRIC WALL,14.952195545299901
0653000205,OPEN OFFICES & BOARDING ROOMS,,1636649.125,199.6999969,21600,AVERAGE,MASONRY,38,101,,FORCED AIR UNIT,1,MIXED USE OFFICE (840),Rect or Slight Irreg,No,2,840,FORCED AIR UNIT,14.30816149312255
0653000350,RETAIL & STORAGE WAREHOUSE,,711118.375,56.09999847,23000,AVERAGE,MASONRY,38,72,,SPACE HEATERS,1,MIXED USE RETAIL (830),Rect or Slight Irreg,No,1,830,SPACE HEATERS,13.474594185785259
0653000385,MID RISE OFFICE BUILDING,59,4322873,205.6999969,61825,AVERAGE,REINFORCED CONCRETE,28,44,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,344,HEAT PUMP,15.2794307854713
0653000480,Olympus Apts,93,14856602,84,590869,GOOD/EXCELLENT,REINFORCED CONCRETE,7,17,Yes,FORCED AIR UNIT,1,APARTMENT (300),Very Irreg,Yes,16,300,FORCED AIR UNIT,16.513954903541542
0653000520,AVA Belltown Apts,57,2653900,80.90000153,145275,AVERAGE/GOOD,WOOD FRAME,7,17,Yes,ELECTRIC,1,APARTMENT (300),Very Irreg,Yes,7,300,ELECTRIC,14.791540814189288
0654000045,CITY CHURCH ( WAS UNION HALL),15,1042108.5,80.80000305,20920,AVERAGE,REINFORCED CONCRETE,38,70,,HOT WATER,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,2,344,HOT WATER,13.856756622554105
0654000085,MIXED USE APARTMENT/RETAIL,3,2173356.25,174.1999969,26640,LOW/AVERAGE,MASONRY,38,115,,HOT WATER,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,3,459,HOT WATER,14.591783189657662
0654000105,Mixed Use,,3696784.75,165.3999939,40329,AVERAGE,WOOD FRAME,9,9,Yes,ELECTRIC,1,APARTMENT (300),Rect or Slight Irreg,Yes,7,300,ELECTRIC,15.122974013340333
0654000120,0FFICE BUILDING,65,802312.5,122.5,20565,GOOD,REINFORCED CONCRETE,29,93,,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,HEAT PUMP,13.595253461827282
0654000145,VINECOURT APTS,90,922153.6875,70.59999847,34880,AVERAGE,WOOD FRAME,17,31,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL,13.734467177910092
0654000280,OREGON APARTMENTS,99,1583110.25,61.09999847,56776,AVERAGE,WOOD FRAME,24,116,Yes,ELECTRIC WALL,1,APARTMENT (300),Very Irreg,Yes,4,300,ELECTRIC WALL,14.274901982679276
0654000285,2300 Elliott,84,3073937.5,104.5999985,112676,AVERAGE/GOOD,WOOD FRAME,13,28,Yes,ELECTRIC WALL,1,APARTMENT (300),Long Rect or Irreg,Yes,6,300,ELECTRIC WALL,14.938469871058759
0654000305,137 Unit Apartment,98,3165129.5,74.90000153,135643,GOOD,REINFORCED CONCRETE,4,4,Yes,PACKAGE UNIT,1,APARTMENT (300),Long Rect or Irreg,Yes,7,300,PACKAGE UNIT,14.967704528995087
0654000330,WAREHOUSE/STUDIO LOFTS,50,1345025.75,95.5,28800,LOW COST,WOOD FRAME,43,110,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,3,406,SPACE HEATERS,14.111923715816227
0655000005,Mixed Use Retail W/Studio w/share kitche,,1458617.125,139.6999969,23015,AVERAGE,MASONRY,33,118,,ELECTRIC WALL,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,3,459,ELECTRIC WALL,14.192999370173618
0656000005,OFFICES & STUDIOS,20,9788717,305.1000061,100734,AVERAGE,REINFORCED CONCRETE,38,50,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,COMPLETE HVAC,16.096740953824643
0656000045,GRANGE OFFICE PLAZA,57,5007401,228.8999939,77662,AVERAGE,REINFORCED CONCRETE,28,37,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,4,344,WARMED AND COOLED AIR,15.426427575982192
0656000120,APARTMENT BUILDING -298 UNITS,92,8052614.5,102.5,269065,AVERAGE/GOOD,REINFORCED CONCRETE,4,4,Yes,HEAT PUMP,1,APARTMENT (300),Rect or Slight Irreg,Yes,26,300,HEAT PUMP,15.901507379272987
0656000130,RETAIL,32,1560461.75,147,26270,AVERAGE,REINFORCED CONCRETE,28,87,,HOT WATER,1,RETAIL STORE (353),Rect or Slight Irreg,Yes,2,353,HOT WATER,14.260492329018003
0656000160,OFFICE BUILDING,50,2385395,150.3999939,57620,AVERAGE,REINFORCED CONCRETE,38,92,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,HEAT PUMP,14.684875287039995
0656000180,LEXINGTON CONCORD APTS,38,3288836,130.1000061,33440,AVERAGE,WOOD FRAME,21,95,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,No,3,352,HOT WATER,15.006044260747686
0656000360,VERMONT INN,97,4188660.5,109.5,69590,AVERAGE,WOOD FRAME,14,24,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,6,300,ELECTRIC WALL,15.247891551049193
0656000400,Mixed Use Residential/Retain,89,5907068,87.69999695,176043,AVERAGE,REINFORCED CONCRETE,7,7,Yes,ELECTRIC WALL,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,17,459,ELECTRIC WALL,15.591660157988814
0656000410,OFFICE BLDG,65,9343428,212.1000061,150000,AVERAGE/GOOD,REINFORCED CONCRETE,28,43,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,8,344,WARMED AND COOLED AIR,16.05018376642296
0656000450,CENTENNIAL TOWER APTS,32,14168729,142.1999969,321050,GOOD,REINFORCED CONCRETE,13,28,Yes,ELECTRIC WALL,1,APARTMENT (300),Long Rect or Irreg,Yes,26,300,ELECTRIC WALL,16.466547911101898
0656000451,COURT AT CENTENNIAL APTS,98,3644982.25,80.30000305,192077,AVERAGE/GOOD,WOOD FRAME,8,18,Yes,ELECTRIC WALL,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,7,459,ELECTRIC WALL,15.10886205372854
0656000480,OFFICE BLD,39,18661606,276.6000061,234000,AVERAGE/GOOD,STRUCTURAL STEEL,23,40,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,12,344,HEAT PUMP,16.74197881613227
0656000550,MODA APTS,97,6485203,101.1999969,203940,GOOD,WOOD FRAME,6,10,Yes,ELECTRIC,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,7,459,ELECTRIC,15.685033678249692
0656000600,FLEMING APTS,94,785052.875,77.90000153,21284,AVERAGE,MASONRY,33,100,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,HOT WATER,13.573506351184085
0659000030,MAYFLOWER PARK HOTEL,60,7226362.5,182.5,88434,AVERAGE,REINFORCED CONCRETE,23,91,Yes,STEAM WITHOUT BOILER,1,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,12,841,STEAM WITHOUT BOILER,15.793246355498427
0659000085,MEDICAL OFFICE BUILDING,68,22104512,190,363934,AVERAGE,REINFORCED CONCRETE,23,93,Yes,STEAM WITHOUT BOILER,1,MEDICAL OFFICE (341),Rect or Slight Irreg,Yes,18,341,STEAM WITHOUT BOILER,16.9112923085455
0659000220,PARAMOUNT HOTEL,61,8387933,176.1000061,103566,GOOD,REINFORCED CONCRETE,18,22,Yes,HEAT PUMP,1,"HOTEL, FULL SERVICE (841)",Rect or Slight Irreg,Yes,11,841,HEAT PUMP,15.942304683370711
0659000235,Office Tower,90,30985420,164.6000061,747747,EXCELLENT,STRUCTURAL STEEL,18,18,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Long Rect or Irreg,Yes,23,344,WARMED AND COOLED AIR,17.24902732923242
0659000265,Mixed Use,82,2001936.5,107.5999985,98222,AVERAGE,WOOD FRAME,11,16,Yes,ELECTRIC,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,6,459,ELECTRIC,14.50962552007255
0659000350,LLOYD OFFICE BUILDING,90,3444270,131.6999969,63409,AVERAGE,REINFORCED CONCRETE,43,92,,STEAM WITHOUT BOILER,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,10,344,STEAM WITHOUT BOILER,15.052222538669401
0659000365,TOWER OFFICE BLDG,91,7739699,127.8000031,204790,AVERAGE,REINFORCED CONCRETE,28,88,,STEAM WITHOUT BOILER,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,17,344,STEAM WITHOUT BOILER,15.861873355920828
0659000380,BANK AND OFFICE BUILDING,2,1858224.625,187.3000031,31890,AVERAGE,REINFORCED CONCRETE,43,63,,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,2,344,WARMED AND COOLED AIR,14.43513208717344
0659000385,TIMES SQUARE OFFICE BUILDING,61,3757006,191.6999969,73399,AVERAGE,REINFORCED CONCRETE,36,102,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,344,HEAT PUMP,15.13913292157373
0659000400,MIXED USE RETAIL/OFFICE BUILDING,53,1441900.5,141,44098,AVERAGE,REINFORCED CONCRETE,32,93,Yes,COMPLETE HVAC,1,MIXED USE RETAIL (830),Rect or Slight Irreg,Yes,2,830,COMPLETE HVAC,14.181472593059363
0659000430,MIXED USE OFFICE/RETAIL BUILDING,,3532966.5,288.8999939,22381,AVERAGE,MASONRY,38,95,Yes,COMPLETE HVAC,1,MIXED USE OFFICE (840),Rect or Slight Irreg,Yes,3,840,COMPLETE HVAC,15.077648444269721
0659000555,OFFICE BLDG,90,14633233,146.6999969,265851,AVERAGE,STRUCTURAL STEEL,22,49,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,20,344,COMPLETE HVAC,16.498805732861758
0659000640,HOTEL MAX,56,6794584,216.1999969,61320,AVERAGE/GOOD,STRUCTURAL STEEL,23,92,Yes,WARMED AND COOLED AIR,1,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,10,841,WARMED AND COOLED AIR,15.731636382206883
0659000710,Fare Start Restaurant and Adult Ed.,,4475650,322.7999878,33600,AVERAGE,REINFORCED CONCRETE,13,95,Yes,HEAT PUMP,1,MIXED USE RETAIL (830),Rect or Slight Irreg,No,3,830,HEAT PUMP,15.314162150539778
0659000715,LOW INC HOUSING/RETAIL,,1852926.625,191.8000031,39201,AVERAGE,MASONRY,49,111,,FORCED AIR UNIT,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,3,459,FORCED AIR UNIT,14.432276906534206
0659000740,LARNED APTS,,903301.3125,117.5999985,23568,AVERAGE,MASONRY,24,109,Yes,FORCED AIR UNIT,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,Yes,3,352,FORCED AIR UNIT,13.713811456142524
0659000930,OFFICE BLDG,83,11480494,157.5,169020,AVERAGE,STRUCTURAL STEEL,28,55,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,11,344,WARMED AND COOLED AIR,16.256159979288757
0659000965,THE VIRGINIAN APTS,87,1412896,87.80000305,21130,AVERAGE,MASONRY,33,101,No,HOT WATER-RADIANT,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,Yes,3,352,HOT WATER-RADIANT,14.161152056693199
0659001015,SHERIDAN APTS,91,2090895.75,90.30000305,36880,AVERAGE/GOOD,REINFORCED CONCRETE,24,104,Yes,HOT WATER-RADIANT,1,APARTMENT (300),Long Rect or Irreg,No,6,300,HOT WATER-RADIANT,14.553103120639916
0659001020,MIXED USE OFFICE BUILDING,81,1857154.75,127.4000015,32356,AVERAGE,MASONRY,39,91,Yes,STEAM,1,MIXED USE OFFICE (840),Rect or Slight Irreg,Yes,4,840,STEAM,14.434556170196148
0660000080,OFFICE BLDG,91,8580279,139.5,206000,AVERAGE,STRUCTURAL STEEL,33,50,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,12,344,WARMED AND COOLED AIR,15.96497698841798
0660000435,LA QUINTA INN & SUITES,24,3993913.25,132.1000061,61180,AVERAGE,REINFORCED CONCRETE,28,58,Yes,FORCED AIR UNIT,1,"HOTEL, LIMITED (332)",Approx Square,Yes,7,332,FORCED AIR UNIT,15.200282072641894
0660000625,OFFICE BUILDING,51,3460275.5,229.3000031,43506,GOOD,REINFORCED CONCRETE,28,40,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,344,WARMED AND COOLED AIR,15.056858768141518
0660000825,WORLDMARK BY WYNDHAM,27,5758795,146.6000061,83008,AVERAGE/GOOD,REINFORCED CONCRETE,23,92,Yes,COMPLETE HVAC,1,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,11,841,COMPLETE HVAC,15.566238809397522
0660000835,Mixed Use Apartment,,15590743,128.8000031,501239,GOOD/EXCELLENT,REINFORCED CONCRETE,6,10,Yes,COMPLETE HVAC,1,APARTMENT (300),Very Irreg,Yes,27,300,COMPLETE HVAC,16.562187898653928
0660000860,Mixed Use Apt,20,4216639.5,152.6999969,74509,AVERAGE/GOOD,WOOD FRAME,4,4,Yes,WALL FURNACE,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,7,459,WALL FURNACE,15.254549041761193
0660000900,TOWER 801 APARTMENTS,11,7821914,171.1000061,179745,GOOD,REINFORCED CONCRETE,17,48,Yes,ELECTRIC WALL,1,APARTMENT (300),Very Irreg,Yes,23,300,ELECTRIC WALL,15.872439839606626
0660000955,Live THEATER/APT,,6298131.5,141.6999969,102761,AVERAGE,MASONRY,38,92,Yes,COMPLETE HVAC,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,8,459,COMPLETE HVAC,15.655763560069461
0660001135,OFFICE,94,17867002,164.6000061,480840,AVERAGE/GOOD,STRUCTURAL STEEL,13,28,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,16,344,COMPLETE HVAC,16.69846610585351
0660001215,Office/Laboratory Bldg.,,65336980,530.7000122,299070,EXCELLENT,STRUCTURAL STEEL,13,14,Yes,COMPLETE HVAC,1,LABORATORIES (496),Rect or Slight Irreg,Yes,11,496,COMPLETE HVAC,17.99506874329554
0660001235,JULIE APARTMENTS,,2228675.5,107.8000031,30180,AVERAGE,REINFORCED CONCRETE,27,89,Yes,HOT WATER,1,APARTMENT (300),Long Rect or Irreg,No,5,300,HOT WATER,14.616918020792049
0660001305,STORAGE BUILDING,,717056.375,72.80000305,28800,AVERAGE,REINFORCED CONCRETE,58,108,Yes,HOT WATER,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,3,406,HOT WATER,13.482909742711241
0660001310,OFFICE BUILDING,72,1261536.75,120.3000031,21600,AVERAGE,REINFORCED CONCRETE,41,61,,WARMED AND COOLED AIR,1,OPEN OFFICE (820),Rect or Slight Irreg,Yes,2,820,WARMED AND COOLED AIR,14.047841178624653
0660001365,Private Elementary School,43,931148.625,127.9000015,22860,GOOD,MASONRY,18,23,Yes,COMPLETE HVAC,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,3,365,COMPLETE HVAC,13.744174183689926
