SiteEnergyUse,SourceEUI,PropertyGFATotal,BuildinQuality,ConstructioClass,EffYear,YearBuilt,Elevators,HeatinSystem,NumbeOBuildingAggregated,PredominanUse,Shape,Sprinklers,NumberofFloors,PredominantUseCode,HeatinSystemCode
790039.8125,83.40000153,29646,AVERAGE,WOOD FRAME,6,7,Yes,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,Yes,3,352,ELECTRIC
556700.6875,89.5,20296,AVERAGE,WOOD FRAME,23,53,No,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,,3,352,ELECTRIC
687953.6875,67.09999847,40948,AVERAGE/GOOD,WOOD FRAME,18,40,No,ELECTRIC,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,,4,352,ELECTRIC
2143650.75,72.69999695,48001,AVERAGE,MASONRY,50,51,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS
509124,60.5,26380,AVERAGE,MASONRY,33,39,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS
3004271,68.90000153,123000,AVERAGE,MASONRY,9,52,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,2,406,SPACE HEATERS
2559461.75,136.8999939,37351,AVERAGE,MASONRY,49,49,,SPACE HEATERS,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,Yes,1,494,SPACE HEATERS
345866.6875,35.79999924,30375,AVERAGE,MASONRY,37,37,,SPACE HEATERS,1,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,407,SPACE HEATERS
1052244.75,39.70000076,60448,AVERAGE,MASONRY,36,40,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS
369291.5,39.70000076,30004,AVERAGE,MASONRY,28,39,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,406,SPACE HEATERS
596155.625,85.09999847,32235,AVERAGE/GOOD,WOOD FRAME,13,28,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,ELECTRIC WALL
1997181.5,63.09999847,93079,GOOD,WOOD FRAME,8,18,Yes,ELECTRIC WALL,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,,3,459,ELECTRIC WALL
1650279.25,77.80000305,54986,AVERAGE/GOOD,MASONRY,18,28,Yes,HEAT PUMP,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,2,365,HEAT PUMP
695955.8125,90.80000305,24059,AVERAGE,WOOD FRAME,28,56,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,No,3,352,ELECTRIC WALL
9097980,119.5,66402,AVERAGE,MASONRY,38,55,Yes,WARMED AND COOLED AIR,1,CONVALESCENT HOSPITAL (313),Rect or Slight Irreg,Yes,3,313,WARMED AND COOLED AIR
1742351.25,90.40000153,76285,AVERAGE,WOOD FRAME,17,30,Yes,ELECTRIC WALL,2,APARTMENT (300),Rect or Slight Irreg,No,4,300,ELECTRIC WALL
864004.625,90.69999695,46873,AVERAGE/GOOD,WOOD FRAME,18,28,Yes,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,ELECTRIC WALL
681354.1875,92.30000305,27160,AVERAGE,WOOD FRAME,12,20,,ELECTRIC,1,APARTMENT (300),Very Irreg,,3,300,ELECTRIC
778355.8125,56.40000153,22220,AVERAGE,WOOD FRAME,43,61,,FORCED AIR UNIT,1,CHURCH (309),Rect or Slight Irreg,No,2,309,FORCED AIR UNIT
2331952.75,79,46732,AVERAGE,MASONRY,38,63,Yes,HOT WATER,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,1,365,HOT WATER
1422814.375,80.09999847,26211,AVERAGE/GOOD,WOOD FRAME,26,59,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,2,352,HOT WATER
509836.1875,22.89999962,33589,AVERAGE/GOOD,WOOD FRAME,28,104,,FORCED AIR UNIT,1,CHURCH (309),Rect or Slight Irreg,No,2,309,FORCED AIR UNIT
3989399,191.8000031,52500,LOW/AVERAGE,PREFAB STEEL,43,45,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,,1,406,SPACE HEATERS
4560492,151.1999969,57300,LOW/AVERAGE,MASONRY,59,59,,HOT WATER,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,2,406,HOT WATER
6186461.5,163,94900,LOW/AVERAGE,MASONRY,57,57,,WARMED AND COOLED AIR,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,,2,406,WARMED AND COOLED AIR
1007356.313,81,39050,AVERAGE,WOOD FRAME,16,28,Yes,ELECTRIC WALL,1,APARTMENT (300),Long Rect or Irreg,Yes,5,300,ELECTRIC WALL
3116420.25,182.1000061,77800,AVERAGE,MASONRY,17,38,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,8,300,ELECTRIC WALL
1636649.125,199.6999969,21600,AVERAGE,MASONRY,38,101,,FORCED AIR UNIT,1,MIXED USE OFFICE (840),Rect or Slight Irreg,No,2,840,FORCED AIR UNIT
711118.375,56.09999847,23000,AVERAGE,MASONRY,38,72,,SPACE HEATERS,1,MIXED USE RETAIL (830),Rect or Slight Irreg,No,1,830,SPACE HEATERS
4322873,205.6999969,61825,AVERAGE,REINFORCED CONCRETE,28,44,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,344,HEAT PUMP
14856602,84,590869,GOOD/EXCELLENT,REINFORCED CONCRETE,7,17,Yes,FORCED AIR UNIT,1,APARTMENT (300),Very Irreg,Yes,16,300,FORCED AIR UNIT
2653900,80.90000153,145275,AVERAGE/GOOD,WOOD FRAME,7,17,Yes,ELECTRIC,1,APARTMENT (300),Very Irreg,Yes,7,300,ELECTRIC
1042108.5,80.80000305,20920,AVERAGE,REINFORCED CONCRETE,38,70,,HOT WATER,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,2,344,HOT WATER
2173356.25,174.1999969,26640,LOW/AVERAGE,MASONRY,38,115,,HOT WATER,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,3,459,HOT WATER
3696784.75,165.3999939,40329,AVERAGE,WOOD FRAME,9,9,Yes,ELECTRIC,1,APARTMENT (300),Rect or Slight Irreg,Yes,7,300,ELECTRIC
802312.5,122.5,20565,GOOD,REINFORCED CONCRETE,29,93,,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,HEAT PUMP
922153.6875,70.59999847,34880,AVERAGE,WOOD FRAME,17,31,No,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,4,300,ELECTRIC WALL
1583110.25,61.09999847,56776,AVERAGE,WOOD FRAME,24,116,Yes,ELECTRIC WALL,1,APARTMENT (300),Very Irreg,Yes,4,300,ELECTRIC WALL
3073937.5,104.5999985,112676,AVERAGE/GOOD,WOOD FRAME,13,28,Yes,ELECTRIC WALL,1,APARTMENT (300),Long Rect or Irreg,Yes,6,300,ELECTRIC WALL
3165129.5,74.90000153,135643,GOOD,REINFORCED CONCRETE,4,4,Yes,PACKAGE UNIT,1,APARTMENT (300),Long Rect or Irreg,Yes,7,300,PACKAGE UNIT
1345025.75,95.5,28800,LOW COST,WOOD FRAME,43,110,,SPACE HEATERS,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,3,406,SPACE HEATERS
1458617.125,139.6999969,23015,AVERAGE,MASONRY,33,118,,ELECTRIC WALL,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,3,459,ELECTRIC WALL
9788717,305.1000061,100734,AVERAGE,REINFORCED CONCRETE,38,50,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,COMPLETE HVAC
5007401,228.8999939,77662,AVERAGE,REINFORCED CONCRETE,28,37,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,4,344,WARMED AND COOLED AIR
8052614.5,102.5,269065,AVERAGE/GOOD,REINFORCED CONCRETE,4,4,Yes,HEAT PUMP,1,APARTMENT (300),Rect or Slight Irreg,Yes,26,300,HEAT PUMP
1560461.75,147,26270,AVERAGE,REINFORCED CONCRETE,28,87,,HOT WATER,1,RETAIL STORE (353),Rect or Slight Irreg,Yes,2,353,HOT WATER
2385395,150.3999939,57620,AVERAGE,REINFORCED CONCRETE,38,92,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,344,HEAT PUMP
3288836,130.1000061,33440,AVERAGE,WOOD FRAME,21,95,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,No,3,352,HOT WATER
4188660.5,109.5,69590,AVERAGE,WOOD FRAME,14,24,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,6,300,ELECTRIC WALL
5907068,87.69999695,176043,AVERAGE,REINFORCED CONCRETE,7,7,Yes,ELECTRIC WALL,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,17,459,ELECTRIC WALL
9343428,212.1000061,150000,AVERAGE/GOOD,REINFORCED CONCRETE,28,43,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,8,344,WARMED AND COOLED AIR
14168729,142.1999969,321050,GOOD,REINFORCED CONCRETE,13,28,Yes,ELECTRIC WALL,1,APARTMENT (300),Long Rect or Irreg,Yes,26,300,ELECTRIC WALL
3644982.25,80.30000305,192077,AVERAGE/GOOD,WOOD FRAME,8,18,Yes,ELECTRIC WALL,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,7,459,ELECTRIC WALL
18661606,276.6000061,234000,AVERAGE/GOOD,STRUCTURAL STEEL,23,40,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,12,344,HEAT PUMP
6485203,101.1999969,203940,GOOD,WOOD FRAME,6,10,Yes,ELECTRIC,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,7,459,ELECTRIC
785052.875,77.90000153,21284,AVERAGE,MASONRY,33,100,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,HOT WATER
7226362.5,182.5,88434,AVERAGE,REINFORCED CONCRETE,23,91,Yes,STEAM WITHOUT BOILER,1,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,12,841,STEAM WITHOUT BOILER
22104512,190,363934,AVERAGE,REINFORCED CONCRETE,23,93,Yes,STEAM WITHOUT BOILER,1,MEDICAL OFFICE (341),Rect or Slight Irreg,Yes,18,341,STEAM WITHOUT BOILER
8387933,176.1000061,103566,GOOD,REINFORCED CONCRETE,18,22,Yes,HEAT PUMP,1,"HOTEL, FULL SERVICE (841)",Rect or Slight Irreg,Yes,11,841,HEAT PUMP
30985420,164.6000061,747747,EXCELLENT,STRUCTURAL STEEL,18,18,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Long Rect or Irreg,Yes,23,344,WARMED AND COOLED AIR
2001936.5,107.5999985,98222,AVERAGE,WOOD FRAME,11,16,Yes,ELECTRIC,1,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,6,459,ELECTRIC
3444270,131.6999969,63409,AVERAGE,REINFORCED CONCRETE,43,92,,STEAM WITHOUT BOILER,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,10,344,STEAM WITHOUT BOILER
7739699,127.8000031,204790,AVERAGE,REINFORCED CONCRETE,28,88,,STEAM WITHOUT BOILER,1,OFFICE BUILDING (344),Rect or Slight Irreg,No,17,344,STEAM WITHOUT BOILER
1858224.625,187.3000031,31890,AVERAGE,REINFORCED CONCRETE,43,63,,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,2,344,WARMED AND COOLED AIR
3757006,191.6999969,73399,AVERAGE,REINFORCED CONCRETE,36,102,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,344,HEAT PUMP
1441900.5,141,44098,AVERAGE,REINFORCED CONCRETE,32,93,Yes,COMPLETE HVAC,1,MIXED USE RETAIL (830),Rect or Slight Irreg,Yes,2,830,COMPLETE HVAC
3532966.5,288.8999939,22381,AVERAGE,MASONRY,38,95,Yes,COMPLETE HVAC,1,MIXED USE OFFICE (840),Rect or Slight Irreg,Yes,3,840,COMPLETE HVAC
14633233,146.6999969,265851,AVERAGE,STRUCTURAL STEEL,22,49,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,20,344,COMPLETE HVAC
6794584,216.1999969,61320,AVERAGE/GOOD,STRUCTURAL STEEL,23,92,Yes,WARMED AND COOLED AIR,1,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,10,841,WARMED AND COOLED AIR
4475650,322.7999878,33600,AVERAGE,REINFORCED CONCRETE,13,95,Yes,HEAT PUMP,1,MIXED USE RETAIL (830),Rect or Slight Irreg,No,3,830,HEAT PUMP
1852926.625,191.8000031,39201,AVERAGE,MASONRY,49,111,,FORCED AIR UNIT,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,3,459,FORCED AIR UNIT
903301.3125,117.5999985,23568,AVERAGE,MASONRY,24,109,Yes,FORCED AIR UNIT,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,Yes,3,352,FORCED AIR UNIT
11480494,157.5,169020,AVERAGE,STRUCTURAL STEEL,28,55,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,11,344,WARMED AND COOLED AIR
1412896,87.80000305,21130,AVERAGE,MASONRY,33,101,No,HOT WATER-RADIANT,1,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,Yes,3,352,HOT WATER-RADIANT
2090895.75,90.30000305,36880,AVERAGE/GOOD,REINFORCED CONCRETE,24,104,Yes,HOT WATER-RADIANT,1,APARTMENT (300),Long Rect or Irreg,No,6,300,HOT WATER-RADIANT
1857154.75,127.4000015,32356,AVERAGE,MASONRY,39,91,Yes,STEAM,1,MIXED USE OFFICE (840),Rect or Slight Irreg,Yes,4,840,STEAM
8580279,139.5,206000,AVERAGE,STRUCTURAL STEEL,33,50,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,12,344,WARMED AND COOLED AIR
3993913.25,132.1000061,61180,AVERAGE,REINFORCED CONCRETE,28,58,Yes,FORCED AIR UNIT,1,"HOTEL, LIMITED (332)",Approx Square,Yes,7,332,FORCED AIR UNIT
3460275.5,229.3000031,43506,GOOD,REINFORCED CONCRETE,28,40,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,344,WARMED AND COOLED AIR
5758795,146.6000061,83008,AVERAGE/GOOD,REINFORCED CONCRETE,23,92,Yes,COMPLETE HVAC,1,"HOTEL, FULL SERVICE (841)",Approx Square,Yes,11,841,COMPLETE HVAC
15590743,128.8000031,501239,GOOD/EXCELLENT,REINFORCED CONCRETE,6,10,Yes,COMPLETE HVAC,1,APARTMENT (300),Very Irreg,Yes,27,300,COMPLETE HVAC
4216639.5,152.6999969,74509,AVERAGE/GOOD,WOOD FRAME,4,4,Yes,WALL FURNACE,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,7,459,WALL FURNACE
7821914,171.1000061,179745,GOOD,REINFORCED CONCRETE,17,48,Yes,ELECTRIC WALL,1,APARTMENT (300),Very Irreg,Yes,23,300,ELECTRIC WALL
6298131.5,141.6999969,102761,AVERAGE,MASONRY,38,92,Yes,COMPLETE HVAC,1,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,8,459,COMPLETE HVAC
17867002,164.6000061,480840,AVERAGE/GOOD,STRUCTURAL STEEL,13,28,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,16,344,COMPLETE HVAC
65336980,530.7000122,299070,EXCELLENT,STRUCTURAL STEEL,13,14,Yes,COMPLETE HVAC,1,LABORATORIES (496),Rect or Slight Irreg,Yes,11,496,COMPLETE HVAC
2228675.5,107.8000031,30180,AVERAGE,REINFORCED CONCRETE,27,89,Yes,HOT WATER,1,APARTMENT (300),Long Rect or Irreg,No,5,300,HOT WATER
717056.375,72.80000305,28800,AVERAGE,REINFORCED CONCRETE,58,108,Yes,HOT WATER,1,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,3,406,HOT WATER
1261536.75,120.3000031,21600,AVERAGE,REINFORCED CONCRETE,41,61,,WARMED AND COOLED AIR,1,OPEN OFFICE (820),Rect or Slight Irreg,Yes,2,820,WARMED AND COOLED AIR
931148.625,127.9000015,22860,GOOD,MASONRY,18,23,Yes,COMPLETE HVAC,1,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,3,365,COMPLETE HVAC
2709973.75,99.09999847,65210,AVERAGE,WOOD FRAME,14,26,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,7,300,ELECTRIC WALL
323739.4063,38.5,21600,AVERAGE,REINFORCED CONCRETE,44,90,,HOT WATER,1,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,No,3,494,HOT WATER
873221.875,29.299999239999998,93660,LOW COST,REINFORCED CONCRETE,54,54,,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,344,WARMED AND COOLED AIR
1310236.625,61.20000076,67224,AVERAGE,MASONRY,43,88,,HOT WATER,1,"GARAGE, SERVICE REPAIR (528)",Rect or Slight Irreg,Yes,2,528,HOT WATER
1224685.125,91.5,21712,AVERAGE,MASONRY,31,93,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,352,ELECTRIC WALL
2599171.75,72.80000305,88974,AVERAGE/GOOD,WOOD FRAME,4,5,Yes,ELECTRIC,1,APARTMENT (300),Rect or Slight Irreg,Yes,7,300,ELECTRIC
3077371,140.8000031,50141,AVERAGE,REINFORCED CONCRETE,28,90,Yes,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,No,14,300,HOT WATER
24224888,218.3999939,413715,GOOD,REINFORCED CONCRETE,18,38,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,18,344,COMPLETE HVAC
3986982.75,83.40000153,140049,AVERAGE,WOOD FRAME,14,25,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,6,300,ELECTRIC WALL
9765777,150.8999939,381381,GOOD,STRUCTURAL STEEL,18,18,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,11,344,COMPLETE HVAC
26823218,227.8999939,497513,GOOD,STRUCTURAL STEEL,18,30,Yes,COMPLETE HVAC,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,20,344,COMPLETE HVAC
2569106.5,68.59999847,58954,AVERAGE,MASONRY,31,93,Yes,HOT WATER,1,APARTMENT (300),Long Rect or Irreg,Yes,5,300,HOT WATER
1128311.125,66.40000153,37992,AVERAGE,MASONRY,33,102,Yes,HOT WATER,1,APARTMENT (300),Long Rect or Irreg,No,5,300,HOT WATER
11061916,181.1000061,171866,AVERAGE/GOOD,REINFORCED CONCRETE,13,17,Yes,COMPLETE HVAC,1,"HOTEL, FULL SERVICE (841)",Very Irreg,Yes,10,841,COMPLETE HVAC
1603017.5,62.5,40489,AVERAGE/GOOD,MASONRY,30,108,No,HOT WATER,1,APARTMENT (300),Rect or Slight Irreg,No,5,300,HOT WATER
874707,96.40000153,34800,AVERAGE,MASONRY,31,93,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL
753721.125,72.90000153,28058,AVERAGE,WOOD FRAME,28,90,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER
1430356.75,59.59999847,47343,AVERAGE,WOOD FRAME,4,4,Yes,ELECTRIC,1,APARTMENT (300),Rect or Slight Irreg,Yes,7,300,ELECTRIC
3229864.5,157.8000031,86560,AVERAGE,REINFORCED CONCRETE,21,93,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,No,9,300,ELECTRIC WALL
4206839.5,166.6999969,91600,AVERAGE,REINFORCED CONCRETE,17,40,No,WARMED AND COOLED AIR,1,APARTMENT (300),Long Rect or Irreg,Yes,13,300,WARMED AND COOLED AIR
2807792.75,117.5,142063,GOOD,WOOD FRAME,7,17,Yes,ELECTRIC,1,APARTMENT (300),Very Irreg,Yes,6,300,ELECTRIC
25307744,187.3999939,543876,AVERAGE/GOOD,STRUCTURAL STEEL,28,39,Yes,HEAT PUMP,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,24,344,HEAT PUMP
4192895,90.09999847,188717,AVERAGE,WOOD FRAME,14,26,Yes,ELECTRIC WALL,1,APARTMENT (300),Very Irreg,Yes,8,300,ELECTRIC WALL
1713381.75,85.09999847,33400,AVERAGE,MASONRY,31,94,No,HOT WATER,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,HOT WATER
1135172.25,112,41030,AVERAGE,WOOD FRAME,14,27,Yes,ELECTRIC,1,APARTMENT (300),Rect or Slight Irreg,Yes,6,300,ELECTRIC
8218155.5,343.6000061,109347,AVERAGE,REINFORCED CONCRETE,28,38,Yes,COMPLETE HVAC,1,LABORATORIES (496),Rect or Slight Irreg,Yes,4,496,COMPLETE HVAC
2926089.5,137.6999969,41359,AVERAGE,WOOD FRAME,11,16,Yes,ELECTRIC WALL,1,APARTMENT (300),Very Irreg,Yes,6,300,ELECTRIC WALL
684941.375,89.69999695,23989,AVERAGE/GOOD,MASONRY,22,93,No,ELECTRIC WALL,1,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,352,ELECTRIC WALL
20361158,233.3000031,396626,AVERAGE/GOOD,STRUCTURAL STEEL,28,36,Yes,WARMED AND COOLED AIR,1,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,6,344,WARMED AND COOLED AIR
1553208.375,182.8999939,26670,AVERAGE,REINFORCED CONCRETE,36,66,Yes,HEAT PUMP,1,MEDICAL OFFICE (341),Rect or Slight Irreg,Yes,4,341,HEAT PUMP
1044220.625,105.5999985,41834,AVERAGE,WOOD FRAME,14,27,Yes,ELECTRIC WALL,1,APARTMENT (300),Rect or Slight Irreg,Yes,6,300,ELECTRIC WALL
10055690,95,295754,GOOD,REINFORCED CONCRETE,5,5,Yes,COMPLETE HVAC,1,APARTMENT (300),Approx Square,Yes,24,300,COMPLETE HVAC
2195828,90.5,34060,AVERAGE,MASONRY,31,96,No,HOT WATER-RADIANT,1,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,Yes,3,352,HOT WATER-RADIANT
1807738.25,113.3000031,37300,AVERAGE/GOOD,REINFORCED CONCRETE,32,93,Yes,ELECTRIC,1,APARTMENT (300),Long Rect or Irreg,No,7,300,ELECTRIC
