parcelId,Building Description,Building Gross Sq Ft,Building Net Sq Ft,Building Number,Building Quality,Construction Class,Eff. Year,Elevators,Heating System,Number Of Buildings Aggregated,Percentage Complete,Predominant Use,Shape,Sprinklers,Stories,Year Built
0022000005,ISAL  (BLDG 2-122),"525,975","382,773",1,AVERAGE,PREFAB STEEL,1992,Yes,HOT & CHILLED WATER,1,100,INDUSTRIAL ENGINEERING BUILDING (392),Rect or Slight Irreg,Yes,3,1992
0050400000,OFFICE CONDO,993,993,1,GOOD,WOOD FRAME,2004,,ELECTRIC,1,100,"CONDO, OFFICE (845)",Rect or Slight Irreg,,1,2004
0053000005,Mixed Use,"286,408","161,612",1,GOOD,WOOD FRAME,2011,Yes,ELECTRIC,1,100,APARTMENT (300),Very Irreg,Yes,11,2003
0054000000,MIXED-USE RETAIL W/CONDOS,"36,450","36,450",1,AVERAGE,REINFORCED CONCRETE,2002,,COMPLETE HVAC,1,100,MIXED USE RETAIL (830),Rect or Slight Irreg,,1,2002
0072000090,Apartment-27 UNITS,"27,020","18,610",1,AVERAGE,WOOD FRAME,2014,Yes,ELECTRIC,1,100,APARTMENT (300),Rect or Slight Irreg,Yes,4,2014
0086000000,Mixed Use Condo,"3,521","3,521",1,GOOD,WOOD FRAME,2002,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Long Rect or Irreg,Yes,6,2002
0091000085,CHURCH,"21,022","21,022",1,GOOD,MASONRY,1980,,STEAM,1,100,CHURCH (309),Rect or Slight Irreg,Yes,2,1922
0148000064,SCHOOL,"24,004","24,004",1,AVERAGE,MASONRY,1980,,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,2,1900
0148000620,CHURCH,"22,128","22,128",1,AVERAGE,WOOD FRAME,1975,Yes,HOT WATER,1,100,CHURCH (309),Rect or Slight Irreg,No,2,1926
0164000005,DISCOUNT STORE (OFFICE DEPOT/CARPET LIQ),"48,139","48,139",1,AVERAGE,MASONRY,1968,,SPACE HEATERS,1,100,DISCOUNT STORE (319),Rect or Slight Irreg,Yes,1,1968
0164000020,Discount Retail,"37,689","37,689",1,AVERAGE,MASONRY,2002,,COMPLETE HVAC,1,100,DISCOUNT STORE (319),Approx Square,,1,2002
0164000035,LINDEN SQUARE,"214,388","134,448",1,GOOD,WOOD FRAME,2008,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Rect or Slight Irreg,No,5,1993
0164000120,"WAREHOUSE, DISTRIBUTION","52,311","52,311",1,AVERAGE,MASONRY,1985,,SPACE HEATERS,1,100,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,1960
0164000222,Amesbury Court Apts-114 UNITS,"129,686","79,597",1,GOOD,WOOD FRAME,2005,Yes,ELECTRIC,3,100,APARTMENT (300),Rect or Slight Irreg,Yes,4,1990
0194001030,CHURCH/TILDEN SCHOOL,"21,364","21,364",1,AVERAGE,MASONRY,1975,,STEAM,1,100,CHURCH (309),Rect or Slight Irreg,No,2,1949
0195500000,"MXD (Apt & Office) Condo, 1000 Aurora","43,656","22,096",1,GOOD,WOOD FRAME,2000,Yes,COMPLETE HVAC,0,100,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,6,1999
0200050000,48 RES + 1 COM'L,"2,329","2,329",1,AVERAGE,MASONRY,1987,Yes,(unknown),1,100,"CONDO, RETAIL (846)",Rect or Slight Irreg,,6,1923
0200060000,65 RES + 2 COM'L,"2,919","2,919",1,AVERAGE,WOOD FRAME,1992,Yes,(unknown),2,100,"CONDO, OFFICE (845)",Rect or Slight Irreg,,5,1992
0209000005,74 unit apartment,"62,659","52,496",1,AVERAGE,STRUCTURAL STEEL,2004,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Rect or Slight Irreg,,7,1994
0209000030,Office Building,"141,131","71,421",1,GOOD/EXCELLENT,REINFORCED CONCRETE,2009,Yes,COMPLETE HVAC,1,100,OFFICE BUILDING (344),Long Rect or Irreg,Yes,5,2009
0209000050,Office Building,"176,532","103,846",1,GOOD,REINFORCED CONCRETE,2001,Yes,COMPLETE HVAC,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,2001
0209000075,CAROLINA COURT,"56,652","35,200",1,AVERAGE,WOOD FRAME,1995,Yes,ELECTRIC WALL,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,1916
0225049032,SANDHURST APTS,"33,166","27,368",1,AVERAGE,WOOD FRAME,1996,Yes,ELECTRIC WALL,3,100,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,1977
0225049062,Community Center,1,1,1,LOW/AVERAGE,WOOD FRAME,1980,,(unknown),1,100,Community Center (514),Rect or Slight Irreg,,2,1947
0225049063,Bldg H,"28,521","24,647",1,AVERAGE,WOOD FRAME,2012,Yes,ELECTRIC,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,Yes,3,2012
0225049066,Santo's Place,"45,760","37,730",1,AVERAGE,WOOD FRAME,2005,,ELECTRIC,1,100,APARTMENT (300),Long Rect or Irreg,Yes,3,1950
0225049067,Apartment Building B,"31,930",0,1,AVERAGE,WOOD FRAME,2012,Yes,ELECTRIC,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,Yes,3,2012
0242200000,20 UNIT CONDO,"20,296","15,826",1,AVERAGE,WOOD FRAME,1995,No,ELECTRIC,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,,3,1965
0246300000,Mixed Use Retail w/studio (hotel rooms),"30,700","24,040",1,AVERAGE,MASONRY,1991,No,ELECTRIC,1,100,"CONDO HOTEL, LIMITED SERVICE (853)",Rect or Slight Irreg,,3,1909
0254600000,Arbor Place Building Condominium,"111,400","68,746",1,AVERAGE,STRUCTURAL STEEL,1995,Yes,ELECTRIC,1,100,"CONDO, OFFICE (845)",Rect or Slight Irreg,Yes,7,1989
0290050000,Art Stable - Street Level Retail Unit,"1,837","1,837",1,GOOD,REINFORCED CONCRETE,2010,,HEAT PUMP,1,100,"CONDO, RETAIL (846)",Long Rect or Irreg,Yes,1,2010
0290900000,OFFICE/RETAIL,"2,820","2,820",1,AVERAGE,STRUCTURAL STEEL,1999,,FORCED AIR UNIT,1,0,OFFICE BUILDING (344),Rect or Slight Irreg,,4,1999
0294200000,ATHENA RETAIL/RETAIL CONDO UNITS,"2,760","2,760",1,AVERAGE/GOOD,MASONRY,2000,,WARMED AND COOLED AIR,1,100,MIXED USE-RETAIL CONDO (848),Rect or Slight Irreg,,1,1999
0299900000,27 UNIT APTS,"40,948","27,308",1,AVERAGE/GOOD,WOOD FRAME,2000,No,ELECTRIC,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,,4,1978
0300100000,2 COMMERCIAL SPACES OFFICE/RETAIL,"2,389","2,389",1,AVERAGE,WOOD FRAME,2002,,FORCED AIR UNIT,1,100,"CONDO, OFFICE (845)",Long Rect or Irreg,,4,2002
0322800000,,"148,474","60,111",1,AVERAGE/GOOD,WOOD FRAME,2013,Yes,ELECTRIC,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,,6,1991
0323049024,WHSE,"606,161","606,161",1,LOW/AVERAGE,MASONRY,1969,,SPACE HEATERS,4,100,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,1952
0323049025,WAREHOUSE,"48,000","48,000",1,AVERAGE,MASONRY,1968,,SPACE HEATERS,1,100,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,1967
0323049141,PUBLIC STORAGE 658 Sp 49 - RV,"6,000",0,1,LOW COST,WOOD FRAME,1986,,ELECTRIC,7,100,MINI-WAREHOUSE (386),Rect or Slight Irreg,Yes,1,1986
0323049146,WAREHOUSE,"26,380","26,380",1,AVERAGE,MASONRY,1985,,SPACE HEATERS,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,1979
0323049194,WHSE,"123,100","123,100",1,AVERAGE,MASONRY,2009,,SPACE HEATERS,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,2,1966
0323049202,Industrial Warehouse,"37,351","37,351",1,AVERAGE,MASONRY,1969,,SPACE HEATERS,1,100,INDUSTRIAL LIGHT MANUFACTURING (494),Rect or Slight Irreg,Yes,1,1969
0323049219,,"30,375","30,375",1,AVERAGE,MASONRY,1981,,SPACE HEATERS,1,100,"WAREHOUSE, DISTRIBUTION (407)",Rect or Slight Irreg,Yes,1,1981
0323049221,WAREHOUSE & OFFICE,"60,448","60,448",1,AVERAGE,MASONRY,1982,,SPACE HEATERS,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,1978
0323049241,WAREHOUSE,"30,004","30,004",1,AVERAGE,MASONRY,1990,,SPACE HEATERS,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,1,1979
0324000505,20 UNIT APT / IN BLDG PKG / OFFICE,"32,235","19,331",1,AVERAGE/GOOD,WOOD FRAME,2005,Yes,ELECTRIC WALL,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,1990
0324500000,AVENUE ONE CONDO,"4,217","4,217",1,AVERAGE,REINFORCED CONCRETE,2005,,WARMED AND COOLED AIR,1,100,MIXED USE-RETAIL CONDO (848),Rect or Slight Irreg,,1,2005
0325049004,CLUBHOUSE,"40,331","40,331",1,GOOD,WOOD FRAME,2005,Yes,STEAM,1,100,COUNTRY CLUB (314),Long Rect or Irreg,Yes,3,1928
0351000000,commercial condo,"3,036","3,036",1,GOOD,REINFORCED CONCRETE,2006,Yes,FORCED AIR UNIT,1,100,"CONDO, OFFICE (845)",Very Irreg,Yes,1,2006
0354000254,Mixed Use Office and Apartments w/ Pkg.,"91,064","45,471",1,GOOD,WOOD FRAME,2010,Yes,ELECTRIC WALL,1,100,MIXED RETAIL W/RES. UNITS (459),Very Irreg,,3,2000
0369000400,school-DISCOVERY EARLY,"52,546","52,546",1,AVERAGE/GOOD,MASONRY,2000,Yes,HEAT PUMP,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,2,1989
0369000780,MAGNOLIA MANOR,"24,059","22,683",1,AVERAGE,WOOD FRAME,1990,No,ELECTRIC WALL,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Very Irreg,No,3,1962
0424049024,NURSING CARE FOR ELDERLY,"66,402","66,402",1,AVERAGE,MASONRY,1980,Yes,WARMED AND COOLED AIR,1,100,CONVALESCENT HOSPITAL (313),Rect or Slight Irreg,Yes,3,1963
0425049010,LAKEVIEW COURT,"76,285","45,451",1,AVERAGE,WOOD FRAME,2001,Yes,ELECTRIC WALL,2,100,APARTMENT (300),Rect or Slight Irreg,No,4,1988
0425049013,VISTA POINT,"46,873","25,427",1,AVERAGE/GOOD,WOOD FRAME,2000,Yes,ELECTRIC WALL,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,1990
0425049022,SCHOOL,"205,000","205,000",1,GOOD,MASONRY,1949,,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,2,1950
0425049047,APARTMENTS WITH PARKING,"87,031","56,886",1,AVERAGE/GOOD,WOOD FRAME,2005,Yes,FORCED AIR UNIT,1,100,APARTMENT (300),Rect or Slight Irreg,Yes,3,1965
0425049065,Mixed Use Multi Res,"27,160","20,148",1,AVERAGE,WOOD FRAME,2006,,ELECTRIC,1,100,APARTMENT (300),Very Irreg,,3,1998
0431000005,CHURCH,"22,220","22,220",1,AVERAGE,WOOD FRAME,1975,,FORCED AIR UNIT,1,100,CHURCH (309),Rect or Slight Irreg,No,2,1957
0439000615,SCHOOL,"45,000","45,000",1,AVERAGE,MASONRY,1980,Yes,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,1,1955
0451900000,THE BALLARD CONDOMINIUMS,"3,646","3,646",1,GOOD,REINFORCED CONCRETE,2002,Yes,FORCED AIR UNIT,1,100,"CONDO, OFFICE (845)",Long Rect or Irreg,Yes,1,2000
0455000730,SKYVIEW TERRACE APTS,"26,211","22,205",1,AVERAGE/GOOD,WOOD FRAME,1992,No,HOT WATER,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,2,1959
0461002400,CHURCH,"33,589","33,589",1,AVERAGE/GOOD,WOOD FRAME,1990,,FORCED AIR UNIT,1,100,CHURCH (309),Rect or Slight Irreg,No,2,1914
0464700000,BALLARD PLACE CONDOMINIUM,"7,235","7,235",1,GOOD,WOOD FRAME,2003,Yes,FORCED AIR UNIT,1,100,"CONDO, RETAIL (846)",Long Rect or Irreg,Yes,1,2003
0467000050,ALASKA OUTPORT TRANSPORTATION ASSN,"52,500","52,500",1,LOW/AVERAGE,PREFAB STEEL,1975,,SPACE HEATERS,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,,1,1973
0467000420,WHSE & OFFICE,"57,300","57,300",1,LOW/AVERAGE,MASONRY,1959,,HOT WATER,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,Yes,2,1959
0467000429,WHSE & OFFICE,"94,900","94,900",1,LOW/AVERAGE,MASONRY,1961,,WARMED AND COOLED AIR,1,0,STORAGE WAREHOUSE (406),Rect or Slight Irreg,,2,1961
0467000911,BALLARD ELKS,"28,492","28,492",1,GOOD,REINFORCED CONCRETE,1978,,HEAT PUMP,1,100,FRATERNAL BUILDING (323),Rect or Slight Irreg,Yes,2,1978
0467000920,MARINE SALES,"11,760","11,760",1,AVERAGE,MASONRY,1969,,SPACE HEATERS,1,100,WAREHOUSE DISCOUNT STORE (458),Rect or Slight Irreg,No,2,1959
0467000925,RESTAURANT & OFFICE,"22,719","21,628",1,GOOD/EXCELLENT,WOOD FRAME,1989,,HEAT PUMP,1,100,"RESTAURANT, TABLE SERVICE (350)",Rect or Slight Irreg,No,3,1977
0512400000,17 RES 8 COM'L 1 APT + 22 PKG,"24,067","23,752",1,GOOD,REINFORCED CONCRETE,2000,Yes,ELECTRIC,2,100,MIXED USE-RETAIL CONDO (848),Rect or Slight Irreg,Yes,7,1994
0519000290,Vacant School,"22,042","22,042",1,AVERAGE,WOOD FRAME,1940,,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,2,1910
0520000000,BARCLAY SQUARE ON QUEEN ANNE CONDO,"5,672","5,672",1,GOOD,WOOD FRAME,2001,Yes,FORCED AIR UNIT,1,100,MIXED USE-RETAIL CONDO (848),Rect or Slight Irreg,Yes,4,2001
0525049003,SUB STATION,"21,462","21,462",1,AVERAGE,REINFORCED CONCRETE,1980,,NO HEAT,1,100,EQUIPMENT (SHOP) BUILDING (470),Rect or Slight Irreg,No,2,1923
0570000295,Westview Apartment Homes,"112,670","75,227",1,AVERAGE/GOOD,WOOD FRAME,1997,No,HOT WATER,6,100,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,No,3,1918
0570000340,CULTURAL CENTER,"52,554","52,554",1,AVERAGE,WOOD FRAME,1970,Yes,HOT WATER-RADIANT,1,100,GOVERNMENT COMMUNITY SERVICE BUILDING (491),Rect or Slight Irreg,Yes,2,1900
0586400000,78 RESID UNITS + 12 COM'L UNITS,"109,832","109,832",1,GOOD,REINFORCED CONCRETE,1990,Yes,ELECTRIC,1,100,MIXED USE-OFFICE CONDO (847),Long Rect or Irreg,Yes,24,1982
0625049002,BLANCHETT,"188,597","188,597",1,GOOD,MASONRY,1988,,HOT WATER,1,100,HIGH SCHOOL (ENTIRE) (484),Rect or Slight Irreg,Yes,3,1954
0625049048,BAGLEY ELEMENTARY SCHOOL,"40,330","40,330",1,GOOD,MASONRY,1980,,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,Yes,2,1913
0625049063,SCHOOL,"17,868","17,868",1,AVERAGE,WOOD FRAME,1965,Yes,HOT WATER,1,100,ELEMENTARY SCHOOL (ENTIRE) (365),Rect or Slight Irreg,No,2,1912
0653000026,Elliott Bay Plaza Apts - I,"148,236","88,457",1,AVERAGE/GOOD,WOOD FRAME,2005,Yes,ELECTRIC,1,100,APARTMENT (300),Very Irreg,Yes,5,1990
0653000130,ELLIS COURT,"39,050","33,012",1,AVERAGE,WOOD FRAME,2002,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Long Rect or Irreg,Yes,5,1990
0653000150,First and Vine - formerly SUNSET HOUSE,"77,800","55,087",1,AVERAGE,MASONRY,2001,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Rect or Slight Irreg,Yes,8,1980
0653000160,Inn/Restaurant/Cinema,"31,020","27,000",1,GOOD,WOOD FRAME,1995,,STEAM,1,100,"Hotel, Limited Service (595)",Rect or Slight Irreg,No,2,1955
0653000195,Walton Lofts - 137 Units,"157,123","92,903",1,GOOD,REINFORCED CONCRETE,2014,Yes,ELECTRIC,1,100,APARTMENT (300),Approx Square,Yes,12,2014
0653000205,OPEN OFFICES & BOARDING ROOMS,"21,600","21,600",1,AVERAGE,MASONRY,1980,,FORCED AIR UNIT,1,100,MIXED USE OFFICE (840),Rect or Slight Irreg,No,2,1917
0653000225,VINE STREET STORAGE,"51,500","31,127",1,AVERAGE,MASONRY,1980,,SPACE HEATERS,1,100,"MINI WAREHOUSE, HI-RISE (525)",Rect or Slight Irreg,No,3,1911
0653000250,Class A/B office building,"350,310","339,799",1,GOOD,REINFORCED CONCRETE,1995,Yes,HOT & CHILLED WATER,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,6,1916
0653000350,RETAIL & STORAGE WAREHOUSE,"23,000","23,000",1,AVERAGE,MASONRY,1980,,SPACE HEATERS,1,100,MIXED USE RETAIL (830),Rect or Slight Irreg,No,1,1946
0653000385,MID RISE OFFICE BUILDING,"61,825","44,709",1,AVERAGE,REINFORCED CONCRETE,1990,Yes,HEAT PUMP,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,5,1974
0653000395,Joseph Arnold Lofts - Apartments,"170,660","99,880",1,GOOD/EXCELLENT,REINFORCED CONCRETE,2014,,COMPLETE HVAC,1,100,APARTMENT (300),Approx Square,,13,2013
0653000480,Olympus Apts,"590,869","331,743",1,GOOD/EXCELLENT,REINFORCED CONCRETE,2011,Yes,FORCED AIR UNIT,1,100,APARTMENT (300),Very Irreg,Yes,16,2001
0653000520,AVA Belltown Apts,"149,515","86,655",1,AVERAGE/GOOD,WOOD FRAME,2011,Yes,ELECTRIC,1,100,APARTMENT (300),Very Irreg,Yes,7,2001
0654000005,LABOR HALL (South Building),"40,320","36,440",1,AVERAGE,MASONRY,1980,,HOT WATER,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,No,3,1942
0654000045,CITY CHURCH ( WAS UNION HALL),"20,920","20,920",1,AVERAGE,REINFORCED CONCRETE,1980,,HOT WATER,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,No,2,1948
0654000085,MIXED USE APARTMENT/RETAIL,"26,640","17,860",1,LOW/AVERAGE,MASONRY,1980,,HOT WATER,1,100,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,3,1903
0654000105,Mixed Use,"40,329","27,287",1,AVERAGE,WOOD FRAME,2009,Yes,ELECTRIC,1,100,APARTMENT (300),Rect or Slight Irreg,Yes,7,2009
0654000120,0FFICE BUILDING,"20,565","20,565",1,GOOD,REINFORCED CONCRETE,1989,,HEAT PUMP,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,1925
0654000145,VINECOURT APTS,"34,880","24,681",1,AVERAGE,WOOD FRAME,2001,No,ELECTRIC WALL,1,100,APARTMENT (300),Rect or Slight Irreg,Yes,4,1987
0654000280,OREGON APARTMENTS,"56,776","35,545",1,AVERAGE,WOOD FRAME,1994,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Very Irreg,Yes,4,1902
0654000285,2300 Elliott,"112,676","66,204",1,AVERAGE/GOOD,WOOD FRAME,2005,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Long Rect or Irreg,Yes,6,1990
0654000305,137 Unit Apartment,"135,643","89,459",1,GOOD,REINFORCED CONCRETE,2014,Yes,PACKAGE UNIT,1,100,APARTMENT (300),Long Rect or Irreg,Yes,7,2014
0654000330,WAREHOUSE/STUDIO LOFTS,"28,800","28,800",1,LOW COST,WOOD FRAME,1975,,SPACE HEATERS,1,100,STORAGE WAREHOUSE (406),Rect or Slight Irreg,No,3,1908
0655000005,Mixed Use Retail W/Studio w/share kitche,"23,015","23,015",1,AVERAGE,MASONRY,1985,,ELECTRIC WALL,1,100,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,No,3,1900
0655000075,Mixed Use Women's Shelter/ Retail,"39,910","33,550",1,AVERAGE,WOOD FRAME,2010,Yes,COMPLETE HVAC,1,100,ROOMING HOUSE (551),Very Irreg,Yes,6,2010
0656000005,OFFICES & STUDIOS,"100,734","74,003",1,AVERAGE,REINFORCED CONCRETE,1980,Yes,COMPLETE HVAC,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,1968
0656000045,GRANGE OFFICE PLAZA,"77,662","46,380",1,AVERAGE,REINFORCED CONCRETE,1990,Yes,WARMED AND COOLED AIR,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,4,1981
0656000120,APARTMENT BUILDING -298 UNITS,"269,065","187,647",1,AVERAGE/GOOD,REINFORCED CONCRETE,2014,Yes,HEAT PUMP,1,100,APARTMENT (300),Rect or Slight Irreg,Yes,26,2014
0656000130,RETAIL,"26,270","26,270",1,AVERAGE,REINFORCED CONCRETE,1990,,HOT WATER,1,100,RETAIL STORE (353),Rect or Slight Irreg,Yes,2,1931
0656000160,OFFICE BUILDING,"57,620","43,948",1,AVERAGE,REINFORCED CONCRETE,1980,Yes,HEAT PUMP,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,3,1926
0656000180,LEXINGTON CONCORD APTS,"33,440","27,879",1,AVERAGE,WOOD FRAME,1997,No,HOT WATER,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Long Rect or Irreg,No,3,1923
0656000215,APARTMENT,"167,344","100,306",1,GOOD,REINFORCED CONCRETE,2018,Yes,(unknown),1,69,APARTMENT (300),Very Irreg,Yes,12,2018
0656000220,122-unit Mixed Use Residential,"116,049","82,818",1,AVERAGE/GOOD,WOOD FRAME,2013,Yes,ELECTRIC,1,100,APARTMENT (300),Very Irreg,Yes,8,2012
0656000290,BELLTOWN INN,"57,800","43,734",1,AVERAGE,WOOD FRAME,2000,Yes,ELECTRIC WALL,1,100,"Hotel, Limited Service (595)",Rect or Slight Irreg,Yes,5,1990
0656000360,VERMONT INN,"69,590","45,987",1,AVERAGE,WOOD FRAME,2004,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Rect or Slight Irreg,Yes,6,1994
0656000400,Mixed Use Residential/Retain,"176,043","122,730",1,AVERAGE,REINFORCED CONCRETE,2011,Yes,ELECTRIC WALL,1,100,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,17,2011
0656000410,OFFICE BLDG,"150,000","122,387",1,AVERAGE/GOOD,REINFORCED CONCRETE,1990,Yes,WARMED AND COOLED AIR,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,8,1975
0656000450,CENTENNIAL TOWER APTS,"321,050","183,481",1,GOOD,REINFORCED CONCRETE,2005,Yes,ELECTRIC WALL,1,100,APARTMENT (300),Long Rect or Irreg,Yes,26,1990
0656000451,COURT AT CENTENNIAL APTS,"192,077","114,228",1,AVERAGE/GOOD,WOOD FRAME,2010,Yes,ELECTRIC WALL,1,100,MIXED RETAIL W/RES. UNITS (459),Very Irreg,Yes,7,2000
0656000480,OFFICE BLD,"234,000","201,968",1,AVERAGE/GOOD,STRUCTURAL STEEL,1995,Yes,HEAT PUMP,1,100,OFFICE BUILDING (344),Rect or Slight Irreg,Yes,12,1978
0656000550,MODA APTS,"203,940","123,056",1,GOOD,WOOD FRAME,2012,Yes,ELECTRIC,1,100,MIXED RETAIL W/RES. UNITS (459),Rect or Slight Irreg,Yes,7,2008
0656000600,FLEMING APTS,"21,284","16,142",1,AVERAGE,MASONRY,1985,No,HOT WATER,1,100,MULTIPLE RESIDENCE (LOW RISE) (352),Rect or Slight Irreg,Yes,3,1918
0657000000,49 UNIT CONDO (44 RES 5 COML),"8,413","8,413",1,AVERAGE,WOOD FRAME,1990,Yes,COMPLETE HVAC,1,100,OFFICE BUILDING (344),Very Irreg,,1,1908
